Test6. Start Pump Simulator Test 

Intial Slope = -0.08682
Starting svp pump_{130, 50, 5}

  45: ↑ 45   , RAM cost:1.7517 GB    
  45: ↑ 45 ↓ 44 , RAM cost:1.7517 GB   
  45: ↑ 45 ↓ 43 , RAM cost:1.7517 GB   
  45: ↑ 45 ↓ 42 , RAM cost:1.7517 GB   
  45: ↑ 45 ↓ 41 , RAM cost:1.7517 GB   
  45: ↑ 45 ↓  7 , RAM cost:1.6304 GB   
  45: ↑ 45 ↓  6 , RAM cost:1.6304 GB   
  45: ↑ 45 ↓  5 , RAM cost:1.6304 GB   
  45: ↑ 45 ↓  4 , RAM cost:1.6304 GB   
  45: ↑ 45 ↓  3 , RAM cost:1.6304 GB   slope: -0.08634, walltime: 13.509 sec, max_RAM_cost: 1.752 GB

Intial Slope = -0.08892
Starting svp pump_{130, 50, 5}

  45: ↑ 45   , RAM cost:1.7789 GB    
  45: ↑ 45 ↓ 44 , RAM cost:1.7789 GB   
  45: ↑ 45 ↓ 43 , RAM cost:1.7789 GB   
  45: ↑ 45 ↓ 42 , RAM cost:1.7789 GB   
  45: ↑ 45 ↓ 41 , RAM cost:1.7789 GB   
  45: ↑ 45 ↓ 40 , RAM cost:1.7790 GB   
  45: ↑ 45 ↓ 39 , RAM cost:1.7790 GB   
  45: ↑ 45 ↓ 38 , RAM cost:1.7790 GB   
  45: ↑ 45 ↓ 37 , RAM cost:1.7790 GB   
  45: ↑ 45 ↓ 36 , RAM cost:1.7790 GB   
  45: ↑ 45 ↓ 35 , RAM cost:1.7790 GB   
  45: ↑ 45 ↓ 34 , RAM cost:1.7790 GB   
  45: ↑ 45 ↓ 33 , RAM cost:1.7790 GB   
  45: ↑ 45 ↓ 32 , RAM cost:1.6468 GB   
  45: ↑ 45 ↓ 31 , RAM cost:1.6470 GB   
  45: ↑ 45 ↓ 30 , RAM cost:1.6470 GB   
  45: ↑ 45 ↓ 29 , RAM cost:1.6470 GB   
  45: ↑ 45 ↓ 28 , RAM cost:1.6470 GB   
  45: ↑ 45 ↓ 27 , RAM cost:1.6470 GB   
  45: ↑ 45 ↓ 26 , RAM cost:1.6470 GB   
  45: ↑ 45 ↓ 25 , RAM cost:1.6470 GB   
  45: ↑ 45 ↓ 24 , RAM cost:1.6470 GB   
  45: ↑ 45 ↓ 23 , RAM cost:1.6470 GB   
  45: ↑ 45 ↓ 22 , RAM cost:1.6470 GB   
  45: ↑ 45 ↓ 21 , RAM cost:1.6470 GB   
  45: ↑ 45 ↓ 20 , RAM cost:1.6470 GB   
  45: ↑ 45 ↓ 19 , RAM cost:1.6470 GB   
  45: ↑ 45 ↓ 18 , RAM cost:1.6470 GB   
  45: ↑ 45 ↓ 17 , RAM cost:1.6470 GB   
  45: ↑ 45 ↓ 16 , RAM cost:1.6470 GB   
  45: ↑ 45 ↓ 15 , RAM cost:1.6470 GB   
  45: ↑ 45 ↓ 14 , RAM cost:1.6470 GB   
  45: ↑ 45 ↓ 13 , RAM cost:1.6470 GB   
  45: ↑ 45 ↓ 12 , RAM cost:1.6470 GB   
  45: ↑ 45 ↓ 11 , RAM cost:1.6470 GB   
  45: ↑ 45 ↓ 10 , RAM cost:1.6470 GB   
  45: ↑ 45 ↓  9 , RAM cost:1.6470 GB   
  45: ↑ 45 ↓  8 , RAM cost:1.6470 GB   
  45: ↑ 45 ↓  7 , RAM cost:1.6470 GB   
  45: ↑ 45 ↓  6 , RAM cost:1.6470 GB   
  45: ↑ 45 ↓  5 , RAM cost:1.6470 GB   
  45: ↑ 45 ↓  4 , RAM cost:1.6470 GB   
  45: ↑ 45 ↓  3 , RAM cost:1.6470 GB   slope: -0.08838, walltime: 12.663 sec, max_RAM_cost: 1.779 GB

Intial Slope = -0.08832
Starting svp pump_{125, 55, 7}

  48: ↑ 48   , RAM cost:1.7815 GB    
  48: ↑ 48 ↓ 47 , RAM cost:1.7815 GB   
  48: ↑ 48 ↓ 46 , RAM cost:1.7815 GB   
  48: ↑ 48 ↓ 45 , RAM cost:1.7815 GB   
  48: ↑ 48 ↓ 44 , RAM cost:1.7815 GB   
  48: ↑ 48 ↓ 43 , RAM cost:1.7815 GB   
  48: ↑ 48 ↓ 42 , RAM cost:1.7815 GB   
  48: ↑ 48 ↓ 41 , RAM cost:1.7815 GB   
  48: ↑ 48 ↓ 40 , RAM cost:1.7815 GB   
  48: ↑ 48 ↓ 39 , RAM cost:1.7815 GB   
  48: ↑ 48 ↓ 38 , RAM cost:1.7815 GB   
  48: ↑ 48 ↓ 37 , RAM cost:1.7815 GB   
  48: ↑ 48 ↓ 36 , RAM cost:1.7815 GB   
  48: ↑ 48 ↓ 35 , RAM cost:1.7815 GB   
  48: ↑ 48 ↓ 34 , RAM cost:1.7817 GB   
  48: ↑ 48 ↓ 33 , RAM cost:1.7817 GB   
  48: ↑ 48 ↓ 32 , RAM cost:1.6510 GB   
  48: ↑ 48 ↓ 31 , RAM cost:1.6510 GB   
  48: ↑ 48 ↓ 30 , RAM cost:1.6510 GB   
  48: ↑ 48 ↓ 29 , RAM cost:1.6510 GB   
  48: ↑ 48 ↓ 28 , RAM cost:1.6510 GB   
  48: ↑ 48 ↓ 27 , RAM cost:1.6510 GB   
  48: ↑ 48 ↓ 26 , RAM cost:1.6510 GB   
  48: ↑ 48 ↓ 25 , RAM cost:1.6510 GB   
  48: ↑ 48 ↓ 24 , RAM cost:1.6510 GB   
  48: ↑ 48 ↓ 23 , RAM cost:1.6510 GB   
  48: ↑ 48 ↓ 22 , RAM cost:1.6510 GB   
  48: ↑ 48 ↓ 21 , RAM cost:1.6510 GB   
  48: ↑ 48 ↓ 20 , RAM cost:1.6510 GB   
  48: ↑ 48 ↓ 19 , RAM cost:1.6510 GB   
  48: ↑ 48 ↓ 18 , RAM cost:1.6510 GB   
  48: ↑ 48 ↓ 17 , RAM cost:1.6510 GB   
  48: ↑ 48 ↓ 16 , RAM cost:1.6510 GB   
  48: ↑ 48 ↓ 15 , RAM cost:1.6510 GB   
  48: ↑ 48 ↓ 14 , RAM cost:1.6510 GB   
  48: ↑ 48 ↓ 13 , RAM cost:1.6510 GB   
  48: ↑ 48 ↓ 12 , RAM cost:1.6510 GB   
  48: ↑ 48 ↓ 11 , RAM cost:1.6510 GB   
  48: ↑ 48 ↓ 10 , RAM cost:1.6510 GB   
  48: ↑ 48 ↓  9 , RAM cost:1.6513 GB   
  48: ↑ 48 ↓  8 , RAM cost:1.6513 GB   
  48: ↑ 48 ↓  7 , RAM cost:1.6513 GB   
  48: ↑ 48 ↓  6 , RAM cost:1.6513 GB   
  48: ↑ 48 ↓  5 , RAM cost:1.6513 GB   
  48: ↑ 48 ↓  4 , RAM cost:1.6513 GB   
  48: ↑ 48 ↓  3 , RAM cost:1.6513 GB   slope: -0.08768, walltime: 15.352 sec, max_RAM_cost: 1.782 GB

Intial Slope = -0.08400
Starting svp pump_{125, 55, 7}

  48: ↑ 48   , RAM cost:1.7887 GB    
  48: ↑ 48 ↓ 47 , RAM cost:1.7887 GB   
  48: ↑ 48 ↓ 46 , RAM cost:1.7887 GB   
  48: ↑ 48 ↓ 45 , RAM cost:1.7887 GB   
  48: ↑ 48 ↓ 44 , RAM cost:1.7887 GB   
  48: ↑ 48 ↓ 43 , RAM cost:1.7887 GB   
  48: ↑ 48 ↓ 42 , RAM cost:1.7887 GB   
  48: ↑ 48 ↓ 41 , RAM cost:1.7887 GB   
  48: ↑ 48 ↓ 40 , RAM cost:1.7887 GB   
  48: ↑ 48 ↓ 39 , RAM cost:1.7887 GB   
  48: ↑ 48 ↓ 38 , RAM cost:1.7887 GB   
  48: ↑ 48 ↓ 37 , RAM cost:1.7887 GB   
  48: ↑ 48 ↓ 36 , RAM cost:1.7887 GB   
  48: ↑ 48 ↓ 35 , RAM cost:1.7887 GB   
  48: ↑ 48 ↓ 34 , RAM cost:1.7887 GB   
  48: ↑ 48 ↓ 33 , RAM cost:1.7887 GB   
  48: ↑ 48 ↓ 32 , RAM cost:1.6581 GB   
  48: ↑ 48 ↓ 31 , RAM cost:1.6581 GB   
  48: ↑ 48 ↓ 30 , RAM cost:1.6581 GB   
  48: ↑ 48 ↓ 29 , RAM cost:1.6581 GB   
  48: ↑ 48 ↓ 28 , RAM cost:1.6581 GB   
  48: ↑ 48 ↓ 27 , RAM cost:1.6581 GB   
  48: ↑ 48 ↓ 26 , RAM cost:1.6581 GB   
  48: ↑ 48 ↓ 25 , RAM cost:1.6581 GB   
  48: ↑ 48 ↓ 24 , RAM cost:1.6581 GB   
  48: ↑ 48 ↓ 23 , RAM cost:1.6581 GB   
  48: ↑ 48 ↓ 22 , RAM cost:1.6581 GB   
  48: ↑ 48 ↓ 21 , RAM cost:1.6581 GB   
  48: ↑ 48 ↓ 20 , RAM cost:1.6581 GB   
  48: ↑ 48 ↓ 19 , RAM cost:1.6581 GB   
  48: ↑ 48 ↓ 18 , RAM cost:1.6581 GB   
  48: ↑ 48 ↓ 17 , RAM cost:1.6581 GB   
  48: ↑ 48 ↓ 16 , RAM cost:1.6581 GB   
  48: ↑ 48 ↓ 15 , RAM cost:1.6581 GB   
  48: ↑ 48 ↓ 14 , RAM cost:1.6581 GB   
  48: ↑ 48 ↓ 13 , RAM cost:1.6581 GB   
  48: ↑ 48 ↓ 12 , RAM cost:1.6581 GB   
  48: ↑ 48 ↓ 11 , RAM cost:1.6581 GB   
  48: ↑ 48 ↓ 10 , RAM cost:1.6581 GB   
  48: ↑ 48 ↓  9 , RAM cost:1.6581 GB   
  48: ↑ 48 ↓  8 , RAM cost:1.6581 GB   
  48: ↑ 48 ↓  7 , RAM cost:1.6581 GB   
  48: ↑ 48 ↓  6 , RAM cost:1.6581 GB   
  48: ↑ 48 ↓  5 , RAM cost:1.6581 GB   
  48: ↑ 48 ↓  4 , RAM cost:1.6581 GB   
  48: ↑ 48 ↓  3 , RAM cost:1.6581 GB   slope: -0.08340, walltime: 14.454 sec, max_RAM_cost: 1.789 GB

Intial Slope = -0.08625
Starting svp pump_{120, 60, 7}

  53: ↑ 51   , RAM cost:1.7935 GB    
  53: ↑ 52   , RAM cost:1.7935 GB    
  53: ↑ 53   , RAM cost:1.7935 GB    
  53: ↑ 53 ↓ 52 , RAM cost:1.7935 GB   
  53: ↑ 53 ↓ 51 , RAM cost:1.7935 GB   
  53: ↑ 53 ↓ 50 , RAM cost:1.7935 GB   
  53: ↑ 53 ↓ 49 , RAM cost:1.7935 GB   
  53: ↑ 53 ↓ 48 , RAM cost:1.7935 GB   
  53: ↑ 53 ↓ 47 , RAM cost:1.7935 GB   
  53: ↑ 53 ↓ 46 , RAM cost:1.7935 GB   
  53: ↑ 53 ↓ 45 , RAM cost:1.7935 GB   
  53: ↑ 53 ↓ 44 , RAM cost:1.7935 GB   
  53: ↑ 53 ↓ 43 , RAM cost:1.7935 GB   
  53: ↑ 53 ↓ 42 , RAM cost:1.7935 GB   
  53: ↑ 53 ↓ 41 , RAM cost:1.7935 GB   
  53: ↑ 53 ↓ 40 , RAM cost:1.7935 GB   
  53: ↑ 53 ↓ 39 , RAM cost:1.7935 GB   
  53: ↑ 53 ↓ 38 , RAM cost:1.7935 GB   
  53: ↑ 53 ↓ 37 , RAM cost:1.7935 GB   
  53: ↑ 53 ↓ 36 , RAM cost:1.7935 GB   
  53: ↑ 53 ↓ 35 , RAM cost:1.7935 GB   
  53: ↑ 53 ↓ 34 , RAM cost:1.7935 GB   
  53: ↑ 53 ↓ 33 , RAM cost:1.7935 GB   
  53: ↑ 53 ↓ 32 , RAM cost:1.6612 GB   
  53: ↑ 53 ↓ 31 , RAM cost:1.6612 GB   
  53: ↑ 53 ↓ 30 , RAM cost:1.6612 GB   
  53: ↑ 53 ↓ 29 , RAM cost:1.6612 GB   
  53: ↑ 53 ↓ 28 , RAM cost:1.6612 GB   
  53: ↑ 53 ↓ 27 , RAM cost:1.6612 GB   
  53: ↑ 53 ↓ 26 , RAM cost:1.6612 GB   
  53: ↑ 53 ↓ 25 , RAM cost:1.6612 GB   
  53: ↑ 53 ↓ 24 , RAM cost:1.6612 GB   
  53: ↑ 53 ↓ 23 , RAM cost:1.6612 GB   
  53: ↑ 53 ↓ 22 , RAM cost:1.6612 GB   
  53: ↑ 53 ↓ 21 , RAM cost:1.6612 GB   
  53: ↑ 53 ↓ 20 , RAM cost:1.6612 GB   
  53: ↑ 53 ↓ 19 , RAM cost:1.6612 GB   
  53: ↑ 53 ↓ 18 , RAM cost:1.6612 GB   
  53: ↑ 53 ↓ 17 , RAM cost:1.6612 GB   
  53: ↑ 53 ↓ 16 , RAM cost:1.6612 GB   
  53: ↑ 53 ↓ 15 , RAM cost:1.6612 GB   
  53: ↑ 53 ↓ 14 , RAM cost:1.6612 GB   
  53: ↑ 53 ↓ 13 , RAM cost:1.6612 GB   
  53: ↑ 53 ↓ 12 , RAM cost:1.6612 GB   
  53: ↑ 53 ↓ 11 , RAM cost:1.6612 GB   
  53: ↑ 53 ↓ 10 , RAM cost:1.6612 GB   
  53: ↑ 53 ↓  9 , RAM cost:1.6612 GB   
  53: ↑ 53 ↓  8 , RAM cost:1.6612 GB   
  53: ↑ 53 ↓  7 , RAM cost:1.6612 GB   
  53: ↑ 53 ↓  6 , RAM cost:1.6612 GB   
  53: ↑ 53 ↓  5 , RAM cost:1.6612 GB   
  53: ↑ 53 ↓  4 , RAM cost:1.6612 GB   
  53: ↑ 53 ↓  3 , RAM cost:1.6612 GB   slope: -0.08564, walltime: 17.582 sec, max_RAM_cost: 1.794 GB

Intial Slope = -0.08675
Starting svp pump_{120, 60, 7}

  53: ↑ 51   , RAM cost:1.7937 GB    
  53: ↑ 52   , RAM cost:1.7937 GB    
  53: ↑ 53   , RAM cost:1.7937 GB    
  53: ↑ 53 ↓ 52 , RAM cost:1.7937 GB   
  53: ↑ 53 ↓ 51 , RAM cost:1.7937 GB   
  53: ↑ 53 ↓ 50 , RAM cost:1.7937 GB   
  53: ↑ 53 ↓ 49 , RAM cost:1.7937 GB   
  53: ↑ 53 ↓ 48 , RAM cost:1.7937 GB   
  53: ↑ 53 ↓ 47 , RAM cost:1.7937 GB   
  53: ↑ 53 ↓ 46 , RAM cost:1.7937 GB   
  53: ↑ 53 ↓ 45 , RAM cost:1.7937 GB   
  53: ↑ 53 ↓ 44 , RAM cost:1.7937 GB   
  53: ↑ 53 ↓ 43 , RAM cost:1.7937 GB   
  53: ↑ 53 ↓ 42 , RAM cost:1.7937 GB   
  53: ↑ 53 ↓ 41 , RAM cost:1.7937 GB   
  53: ↑ 53 ↓ 40 , RAM cost:1.7937 GB   
  53: ↑ 53 ↓ 39 , RAM cost:1.7937 GB   
  53: ↑ 53 ↓ 38 , RAM cost:1.7937 GB   
  53: ↑ 53 ↓ 37 , RAM cost:1.7938 GB   
  53: ↑ 53 ↓ 36 , RAM cost:1.7938 GB   
  53: ↑ 53 ↓ 35 , RAM cost:1.7938 GB   
  53: ↑ 53 ↓ 34 , RAM cost:1.7938 GB   
  53: ↑ 53 ↓ 33 , RAM cost:1.7938 GB   
  53: ↑ 53 ↓ 32 , RAM cost:1.6633 GB   
  53: ↑ 53 ↓ 31 , RAM cost:1.6633 GB   
  53: ↑ 53 ↓ 30 , RAM cost:1.6633 GB   
  53: ↑ 53 ↓ 29 , RAM cost:1.6633 GB   
  53: ↑ 53 ↓ 28 , RAM cost:1.6633 GB   
  53: ↑ 53 ↓ 27 , RAM cost:1.6633 GB   
  53: ↑ 53 ↓ 26 , RAM cost:1.6633 GB   
  53: ↑ 53 ↓ 25 , RAM cost:1.6633 GB   
  53: ↑ 53 ↓ 24 , RAM cost:1.6633 GB   
  53: ↑ 53 ↓ 23 , RAM cost:1.6633 GB   
  53: ↑ 53 ↓ 22 , RAM cost:1.6634 GB   
  53: ↑ 53 ↓ 21 , RAM cost:1.6634 GB   
  53: ↑ 53 ↓ 20 , RAM cost:1.6634 GB   
  53: ↑ 53 ↓ 19 , RAM cost:1.6636 GB   
  53: ↑ 53 ↓ 18 , RAM cost:1.6636 GB   
  53: ↑ 53 ↓ 17 , RAM cost:1.6636 GB   
  53: ↑ 53 ↓ 16 , RAM cost:1.6636 GB   
  53: ↑ 53 ↓ 15 , RAM cost:1.6636 GB   
  53: ↑ 53 ↓ 14 , RAM cost:1.6636 GB   
  53: ↑ 53 ↓ 13 , RAM cost:1.6636 GB   
  53: ↑ 53 ↓ 12 , RAM cost:1.6636 GB   
  53: ↑ 53 ↓ 11 , RAM cost:1.6636 GB   
  53: ↑ 53 ↓ 10 , RAM cost:1.6636 GB   
  53: ↑ 53 ↓  9 , RAM cost:1.6636 GB   
  53: ↑ 53 ↓  8 , RAM cost:1.6636 GB   
  53: ↑ 53 ↓  7 , RAM cost:1.6636 GB   
  53: ↑ 53 ↓  6 , RAM cost:1.6636 GB   
  53: ↑ 53 ↓  5 , RAM cost:1.6636 GB   
  53: ↑ 53 ↓  4 , RAM cost:1.6636 GB   
  53: ↑ 53 ↓  3 , RAM cost:1.6636 GB   slope: -0.08615, walltime: 16.459 sec, max_RAM_cost: 1.794 GB

Intial Slope = -0.08623
Starting svp pump_{115, 65, 8}

  57: ↑ 51   , RAM cost:1.7986 GB    
  57: ↑ 52   , RAM cost:1.7986 GB    
  57: ↑ 53   , RAM cost:1.7986 GB    
  57: ↑ 54   , RAM cost:1.7986 GB    
  57: ↑ 55   , RAM cost:1.7986 GB    
  57: ↑ 56   , RAM cost:1.7986 GB    
  57: ↑ 57   , RAM cost:1.7986 GB    
  57: ↑ 57 ↓ 56 , RAM cost:1.7986 GB   
  57: ↑ 57 ↓ 55 , RAM cost:1.7986 GB   
  57: ↑ 57 ↓ 54 , RAM cost:1.7986 GB   
  57: ↑ 57 ↓ 53 , RAM cost:1.7986 GB   
  57: ↑ 57 ↓ 52 , RAM cost:1.7986 GB   
  57: ↑ 57 ↓ 51 , RAM cost:1.7986 GB   
  57: ↑ 57 ↓ 50 , RAM cost:1.7986 GB   
  57: ↑ 57 ↓ 49 , RAM cost:1.7986 GB   
  57: ↑ 57 ↓ 48 , RAM cost:1.7986 GB   
  57: ↑ 57 ↓ 47 , RAM cost:1.7986 GB   
  57: ↑ 57 ↓ 46 , RAM cost:1.7986 GB   
  57: ↑ 57 ↓ 45 , RAM cost:1.7986 GB   
  57: ↑ 57 ↓ 44 , RAM cost:1.7986 GB   
  57: ↑ 57 ↓ 43 , RAM cost:1.7986 GB   
  57: ↑ 57 ↓ 42 , RAM cost:1.7986 GB   
  57: ↑ 57 ↓ 41 , RAM cost:1.7986 GB   
  57: ↑ 57 ↓ 40 , RAM cost:1.7986 GB   
  57: ↑ 57 ↓ 39 , RAM cost:1.7986 GB   
  57: ↑ 57 ↓ 38 , RAM cost:1.7986 GB   
  57: ↑ 57 ↓ 37 , RAM cost:1.7986 GB   
  57: ↑ 57 ↓ 36 , RAM cost:1.7986 GB   
  57: ↑ 57 ↓ 35 , RAM cost:1.7986 GB   
  57: ↑ 57 ↓ 34 , RAM cost:1.7986 GB   
  57: ↑ 57 ↓ 33 , RAM cost:1.7986 GB   
  57: ↑ 57 ↓ 32 , RAM cost:1.6684 GB   
  57: ↑ 57 ↓ 31 , RAM cost:1.6684 GB   
  57: ↑ 57 ↓ 30 , RAM cost:1.6684 GB   
  57: ↑ 57 ↓ 29 , RAM cost:1.6684 GB   
  57: ↑ 57 ↓ 28 , RAM cost:1.6684 GB   
  57: ↑ 57 ↓ 27 , RAM cost:1.6684 GB   
  57: ↑ 57 ↓ 26 , RAM cost:1.6684 GB   
  57: ↑ 57 ↓ 25 , RAM cost:1.6684 GB   
  57: ↑ 57 ↓ 24 , RAM cost:1.6684 GB   
  57: ↑ 57 ↓ 23 , RAM cost:1.6684 GB   
  57: ↑ 57 ↓ 22 , RAM cost:1.6684 GB   
  57: ↑ 57 ↓ 21 , RAM cost:1.6684 GB   
  57: ↑ 57 ↓ 20 , RAM cost:1.6684 GB   
  57: ↑ 57 ↓ 19 , RAM cost:1.6684 GB   
  57: ↑ 57 ↓ 18 , RAM cost:1.6684 GB   
  57: ↑ 57 ↓ 17 , RAM cost:1.6684 GB   
  57: ↑ 57 ↓ 16 , RAM cost:1.6684 GB   
  57: ↑ 57 ↓ 15 , RAM cost:1.6684 GB   
  57: ↑ 57 ↓ 14 , RAM cost:1.6684 GB   
  57: ↑ 57 ↓ 13 , RAM cost:1.6684 GB   
  57: ↑ 57 ↓ 12 , RAM cost:1.6684 GB   
  57: ↑ 57 ↓ 11 , RAM cost:1.6684 GB   
  57: ↑ 57 ↓ 10 , RAM cost:1.6684 GB   
  57: ↑ 57 ↓  9 , RAM cost:1.6684 GB   
  57: ↑ 57 ↓  8 , RAM cost:1.6684 GB   
  57: ↑ 57 ↓  7 , RAM cost:1.6684 GB   
  57: ↑ 57 ↓  6 , RAM cost:1.6684 GB   
  57: ↑ 57 ↓  5 , RAM cost:1.6684 GB   
  57: ↑ 57 ↓  4 , RAM cost:1.6684 GB   
  57: ↑ 57 ↓  3 , RAM cost:1.6684 GB   slope: -0.08515, walltime: 22.429 sec, max_RAM_cost: 1.799 GB

Intial Slope = -0.08660
Starting svp pump_{115, 65, 8}

  57: ↑ 51   , RAM cost:1.8048 GB    
  57: ↑ 52   , RAM cost:1.8048 GB    
  57: ↑ 53   , RAM cost:1.8048 GB    
  57: ↑ 54   , RAM cost:1.8048 GB    
  57: ↑ 55   , RAM cost:1.8048 GB    
  57: ↑ 56   , RAM cost:1.8048 GB    
  57: ↑ 57   , RAM cost:1.8048 GB    
  57: ↑ 57 ↓ 56 , RAM cost:1.8051 GB   
  57: ↑ 57 ↓ 55 , RAM cost:1.8051 GB   
  57: ↑ 57 ↓ 54 , RAM cost:1.8051 GB   
  57: ↑ 57 ↓ 53 , RAM cost:1.8051 GB   
  57: ↑ 57 ↓ 52 , RAM cost:1.8051 GB   
  57: ↑ 57 ↓ 51 , RAM cost:1.8051 GB   
  57: ↑ 57 ↓ 50 , RAM cost:1.8051 GB   
  57: ↑ 57 ↓ 49 , RAM cost:1.8051 GB   
  57: ↑ 57 ↓ 48 , RAM cost:1.8051 GB   
  57: ↑ 57 ↓ 47 , RAM cost:1.8051 GB   
  57: ↑ 57 ↓ 46 , RAM cost:1.8051 GB   
  57: ↑ 57 ↓ 45 , RAM cost:1.8051 GB   
  57: ↑ 57 ↓ 44 , RAM cost:1.8053 GB   
  57: ↑ 57 ↓ 43 , RAM cost:1.8053 GB   
  57: ↑ 57 ↓ 42 , RAM cost:1.8053 GB   
  57: ↑ 57 ↓ 41 , RAM cost:1.8053 GB   
  57: ↑ 57 ↓ 40 , RAM cost:1.8053 GB   
  57: ↑ 57 ↓ 39 , RAM cost:1.8053 GB   
  57: ↑ 57 ↓ 38 , RAM cost:1.8053 GB   
  57: ↑ 57 ↓ 37 , RAM cost:1.8053 GB   
  57: ↑ 57 ↓ 36 , RAM cost:1.8053 GB   
  57: ↑ 57 ↓ 35 , RAM cost:1.8053 GB   
  57: ↑ 57 ↓ 34 , RAM cost:1.8053 GB   
  57: ↑ 57 ↓ 33 , RAM cost:1.8053 GB   
  57: ↑ 57 ↓ 32 , RAM cost:1.6731 GB   
  57: ↑ 57 ↓ 31 , RAM cost:1.6731 GB   
  57: ↑ 57 ↓ 30 , RAM cost:1.6731 GB   
  57: ↑ 57 ↓ 29 , RAM cost:1.6731 GB   
  57: ↑ 57 ↓ 28 , RAM cost:1.6731 GB   
  57: ↑ 57 ↓ 27 , RAM cost:1.6731 GB   
  57: ↑ 57 ↓ 26 , RAM cost:1.6731 GB   
  57: ↑ 57 ↓ 25 , RAM cost:1.6731 GB   
  57: ↑ 57 ↓ 24 , RAM cost:1.6731 GB   
  57: ↑ 57 ↓ 23 , RAM cost:1.6731 GB   
  57: ↑ 57 ↓ 22 , RAM cost:1.6731 GB   
  57: ↑ 57 ↓ 21 , RAM cost:1.6731 GB   
  57: ↑ 57 ↓ 20 , RAM cost:1.6731 GB   
  57: ↑ 57 ↓ 19 , RAM cost:1.6731 GB   
  57: ↑ 57 ↓ 18 , RAM cost:1.6731 GB   
  57: ↑ 57 ↓ 17 , RAM cost:1.6731 GB   
  57: ↑ 57 ↓ 16 , RAM cost:1.6731 GB   
  57: ↑ 57 ↓ 15 , RAM cost:1.6731 GB   
  57: ↑ 57 ↓ 14 , RAM cost:1.6731 GB   
  57: ↑ 57 ↓ 13 , RAM cost:1.6731 GB   
  57: ↑ 57 ↓ 12 , RAM cost:1.6731 GB   
  57: ↑ 57 ↓ 11 , RAM cost:1.6731 GB   
  57: ↑ 57 ↓ 10 , RAM cost:1.6731 GB   
  57: ↑ 57 ↓  9 , RAM cost:1.6731 GB   
  57: ↑ 57 ↓  8 , RAM cost:1.6731 GB   
  57: ↑ 57 ↓  7 , RAM cost:1.6731 GB   
  57: ↑ 57 ↓  6 , RAM cost:1.6731 GB   
  57: ↑ 57 ↓  5 , RAM cost:1.6731 GB   
  57: ↑ 57 ↓  4 , RAM cost:1.6731 GB   
  57: ↑ 57 ↓  3 , RAM cost:1.6731 GB   slope: -0.08540, walltime: 23.573 sec, max_RAM_cost: 1.805 GB

Intial Slope = -0.08731
Starting svp pump_{110, 70, 8}

  62: ↑ 51   , RAM cost:1.8143 GB    
  62: ↑ 52   , RAM cost:1.8143 GB    
