Test6. Start Pump Simulator Test 

Intial Slope = -0.08682
Starting svp pump_{130, 50, 5}

  45: ↑ 45   , RAM cost:1.7496 GB    
  45: ↑ 45 ↓ 44 , RAM cost:1.7496 GB   
  45: ↑ 45 ↓ 43 , RAM cost:1.7496 GB   
  45: ↑ 45 ↓ 42 , RAM cost:1.7498 GB   
  45: ↑ 45 ↓ 41 , RAM cost:1.7498 GB   
  50: ↑ 50 ↓ 47 , RAM cost:1.7831 GB   
  50: ↑ 50 ↓ 46 , RAM cost:1.7831 GB   
  50: ↑ 50 ↓ 45 , RAM cost:1.7831 GB   
  50: ↑ 50 ↓ 44 , RAM cost:1.7831 GB   
  50: ↑ 50 ↓ 43 , RAM cost:1.7831 GB   
  50: ↑ 50 ↓ 42 , RAM cost:1.7834 GB   
  50: ↑ 50 ↓ 41 , RAM cost:1.7834 GB   
  50: ↑ 50 ↓ 40 , RAM cost:1.7835 GB   
  50: ↑ 50 ↓ 39 , RAM cost:1.7835 GB   
  50: ↑ 50 ↓ 38 , RAM cost:1.7835 GB   
  50: ↑ 50 ↓ 37 , RAM cost:1.7835 GB   
  50: ↑ 50 ↓ 36 , RAM cost:1.7835 GB   
  50: ↑ 50 ↓ 35 , RAM cost:1.7835 GB   
  50: ↑ 50 ↓ 34 , RAM cost:1.7835 GB   
  50: ↑ 50 ↓ 33 , RAM cost:1.7835 GB   
  50: ↑ 50 ↓ 32 , RAM cost:1.6527 GB   
  50: ↑ 50 ↓ 31 , RAM cost:1.6527 GB   
  50: ↑ 50 ↓ 30 , RAM cost:1.6527 GB   
  50: ↑ 50 ↓ 29 , RAM cost:1.6527 GB   
  50: ↑ 50 ↓ 28 , RAM cost:1.6527 GB   
  50: ↑ 50 ↓ 27 , RAM cost:1.6527 GB   
  50: ↑ 50 ↓ 26 , RAM cost:1.6529 GB   
  50: ↑ 50 ↓ 25 , RAM cost:1.6529 GB   
  50: ↑ 50 ↓ 24 , RAM cost:1.6529 GB   
  50: ↑ 50 ↓ 23 , RAM cost:1.6529 GB   
  50: ↑ 50 ↓ 22 , RAM cost:1.6529 GB   
  50: ↑ 50 ↓ 21 , RAM cost:1.6529 GB   
  50: ↑ 50 ↓ 20 , RAM cost:1.6529 GB   
  50: ↑ 50 ↓ 19 , RAM cost:1.6529 GB   
  50: ↑ 50 ↓ 18 , RAM cost:1.6529 GB   
  50: ↑ 50 ↓ 17 , RAM cost:1.6529 GB   
  50: ↑ 50 ↓ 16 , RAM cost:1.6529 GB   
  50: ↑ 50 ↓ 15 , RAM cost:1.6529 GB   
  50: ↑ 50 ↓ 14 , RAM cost:1.6529 GB   
  50: ↑ 50 ↓ 13 , RAM cost:1.6529 GB   
  50: ↑ 50 ↓ 12 , RAM cost:1.6529 GB   
  50: ↑ 50 ↓ 11 , RAM cost:1.6529 GB   
  50: ↑ 50 ↓ 10 , RAM cost:1.6529 GB   
  50: ↑ 50 ↓  9 , RAM cost:1.6529 GB   
  50: ↑ 50 ↓  8 , RAM cost:1.6529 GB   
  50: ↑ 50 ↓  7 , RAM cost:1.6529 GB   
  50: ↑ 50 ↓  6 , RAM cost:1.6529 GB   
  50: ↑ 50 ↓  5 , RAM cost:1.6529 GB   
  50: ↑ 50 ↓  4 , RAM cost:1.6529 GB   
  50: ↑ 50 ↓  3 , RAM cost:1.6529 GB   slope: -0.08572, walltime: 16.565 sec, max_RAM_cost: 1.783 GB

Intial Slope = -0.08675
Starting svp pump_{120, 60, 10}

  50: ↑ 50   , RAM cost:1.7902 GB    
  50: ↑ 50 ↓ 49 , RAM cost:1.7902 GB   
  50: ↑ 50 ↓ 48 , RAM cost:1.7902 GB   
  50: ↑ 50 ↓ 47 , RAM cost:1.7905 GB   
  50: ↑ 50 ↓ 46 , RAM cost:1.7905 GB   
  50: ↑ 50 ↓ 45 , RAM cost:1.7905 GB   
  50: ↑ 50 ↓ 44 , RAM cost:1.7905 GB   
  50: ↑ 50 ↓ 43 , RAM cost:1.7905 GB   
  50: ↑ 50 ↓ 42 , RAM cost:1.7905 GB   
  50: ↑ 50 ↓ 41 , RAM cost:1.7905 GB   
  50: ↑ 50 ↓ 40 , RAM cost:1.7905 GB   
  50: ↑ 50 ↓ 39 , RAM cost:1.7905 GB   
  50: ↑ 50 ↓ 38 , RAM cost:1.7905 GB   
  50: ↑ 50 ↓ 37 , RAM cost:1.7905 GB   
  50: ↑ 50 ↓ 36 , RAM cost:1.7905 GB   
  50: ↑ 50 ↓ 35 , RAM cost:1.7905 GB   
  50: ↑ 50 ↓ 34 , RAM cost:1.7905 GB   
  50: ↑ 50 ↓ 33 , RAM cost:1.7905 GB   
  50: ↑ 50 ↓ 32 , RAM cost:1.6598 GB   
  50: ↑ 50 ↓ 31 , RAM cost:1.6598 GB   
  50: ↑ 50 ↓ 30 , RAM cost:1.6598 GB   
  50: ↑ 50 ↓ 29 , RAM cost:1.6598 GB   
  50: ↑ 50 ↓ 28 , RAM cost:1.6598 GB   
  50: ↑ 50 ↓ 27 , RAM cost:1.6598 GB   
  50: ↑ 50 ↓ 26 , RAM cost:1.6598 GB   
  50: ↑ 50 ↓ 25 , RAM cost:1.6598 GB   
  50: ↑ 50 ↓ 24 , RAM cost:1.6598 GB   
  50: ↑ 50 ↓ 23 , RAM cost:1.6598 GB   
  50: ↑ 50 ↓ 22 , RAM cost:1.6598 GB   
  50: ↑ 50 ↓ 21 , RAM cost:1.6598 GB   
  50: ↑ 50 ↓ 20 , RAM cost:1.6599 GB   
  50: ↑ 50 ↓ 19 , RAM cost:1.6599 GB   
  50: ↑ 50 ↓ 18 , RAM cost:1.6599 GB   
  50: ↑ 50 ↓ 17 , RAM cost:1.6599 GB   
  50: ↑ 50 ↓ 16 , RAM cost:1.6599 GB   
  50: ↑ 50 ↓ 15 , RAM cost:1.6599 GB   
  50: ↑ 50 ↓ 14 , RAM cost:1.6599 GB   
  50: ↑ 50 ↓ 13 , RAM cost:1.6599 GB   
  50: ↑ 50 ↓ 12 , RAM cost:1.6599 GB   
  50: ↑ 50 ↓ 11 , RAM cost:1.6599 GB   
  50: ↑ 50 ↓ 10 , RAM cost:1.6599 GB   
  50: ↑ 50 ↓  9 , RAM cost:1.6599 GB   
  50: ↑ 50 ↓  8 , RAM cost:1.6599 GB   
  50: ↑ 50 ↓  7 , RAM cost:1.6599 GB   
  50: ↑ 50 ↓  6 , RAM cost:1.6599 GB   
  50: ↑ 50 ↓  5 , RAM cost:1.6599 GB   
  50: ↑ 50 ↓  4 , RAM cost:1.6599 GB   
  50: ↑ 50 ↓  3 , RAM cost:1.6599 GB   slope: -0.08625, walltime: 15.658 sec, max_RAM_cost: 1.790 GB

Intial Slope = -0.08623
Starting svp pump_{115, 65, 12}

  53: ↑ 51   , RAM cost:1.7945 GB    
  53: ↑ 52   , RAM cost:1.7945 GB    
  53: ↑ 53   , RAM cost:1.7945 GB    
  53: ↑ 53 ↓ 52 , RAM cost:1.7945 GB   
  53: ↑ 53 ↓ 51 , RAM cost:1.7945 GB   
  53: ↑ 53 ↓ 50 , RAM cost:1.7945 GB   
  53: ↑ 53 ↓ 49 , RAM cost:1.7945 GB   
  53: ↑ 53 ↓ 48 , RAM cost:1.7945 GB   
  53: ↑ 53 ↓ 47 , RAM cost:1.7945 GB   
  53: ↑ 53 ↓ 46 , RAM cost:1.7945 GB   
  53: ↑ 53 ↓ 45 , RAM cost:1.7945 GB   
  53: ↑ 53 ↓ 44 , RAM cost:1.7945 GB   
  53: ↑ 53 ↓ 43 , RAM cost:1.7945 GB   
  53: ↑ 53 ↓ 42 , RAM cost:1.7945 GB   
  53: ↑ 53 ↓ 41 , RAM cost:1.7945 GB   
  53: ↑ 53 ↓ 40 , RAM cost:1.7945 GB   
  53: ↑ 53 ↓ 39 , RAM cost:1.7945 GB   
  53: ↑ 53 ↓ 38 , RAM cost:1.7945 GB   
  53: ↑ 53 ↓ 37 , RAM cost:1.7945 GB   
  53: ↑ 53 ↓ 36 , RAM cost:1.7945 GB   
  53: ↑ 53 ↓ 35 , RAM cost:1.7945 GB   
  53: ↑ 53 ↓ 34 , RAM cost:1.7945 GB   
  53: ↑ 53 ↓ 33 , RAM cost:1.7945 GB   
  53: ↑ 53 ↓ 32 , RAM cost:1.6618 GB   
  53: ↑ 53 ↓ 31 , RAM cost:1.6618 GB   
  53: ↑ 53 ↓ 30 , RAM cost:1.6618 GB   
  53: ↑ 53 ↓ 29 , RAM cost:1.6618 GB   
  53: ↑ 53 ↓ 28 , RAM cost:1.6618 GB   
  53: ↑ 53 ↓ 27 , RAM cost:1.6618 GB   
  53: ↑ 53 ↓ 26 , RAM cost:1.6620 GB   
  53: ↑ 53 ↓ 25 , RAM cost:1.6620 GB   
  53: ↑ 53 ↓ 24 , RAM cost:1.6620 GB   
  53: ↑ 53 ↓ 23 , RAM cost:1.6620 GB   
  53: ↑ 53 ↓ 22 , RAM cost:1.6620 GB   
  53: ↑ 53 ↓ 21 , RAM cost:1.6620 GB   
  53: ↑ 53 ↓ 20 , RAM cost:1.6620 GB   
  53: ↑ 53 ↓ 19 , RAM cost:1.6620 GB   
  53: ↑ 53 ↓ 18 , RAM cost:1.6620 GB   
  53: ↑ 53 ↓ 17 , RAM cost:1.6620 GB   
  53: ↑ 53 ↓ 16 , RAM cost:1.6620 GB   
  53: ↑ 53 ↓ 15 , RAM cost:1.6620 GB   
  53: ↑ 53 ↓ 14 , RAM cost:1.6620 GB   
  53: ↑ 53 ↓ 13 , RAM cost:1.6620 GB   
  53: ↑ 53 ↓ 12 , RAM cost:1.6620 GB   
  53: ↑ 53 ↓ 11 , RAM cost:1.6620 GB   
  53: ↑ 53 ↓ 10 , RAM cost:1.6620 GB   
  53: ↑ 53 ↓  9 , RAM cost:1.6620 GB   
  53: ↑ 53 ↓  8 , RAM cost:1.6620 GB   
  53: ↑ 53 ↓  7 , RAM cost:1.6620 GB   
  53: ↑ 53 ↓  6 , RAM cost:1.6620 GB   
  53: ↑ 53 ↓  5 , RAM cost:1.6620 GB   
  53: ↑ 53 ↓  4 , RAM cost:1.6620 GB   
  53: ↑ 53 ↓  3 , RAM cost:1.6620 GB   slope: -0.08529, walltime: 19.814 sec, max_RAM_cost: 1.794 GB

Intial Slope = -0.08660
Starting svp pump_{115, 65, 12}

  53: ↑ 51   , RAM cost:1.7966 GB    
  53: ↑ 52   , RAM cost:1.7966 GB    
  53: ↑ 53   , RAM cost:1.7966 GB    
  53: ↑ 53 ↓ 52 , RAM cost:1.7966 GB   
  53: ↑ 53 ↓ 51 , RAM cost:1.7966 GB   
  53: ↑ 53 ↓ 50 , RAM cost:1.7966 GB   
  53: ↑ 53 ↓ 49 , RAM cost:1.7966 GB   
  53: ↑ 53 ↓ 48 , RAM cost:1.7966 GB   
  53: ↑ 53 ↓ 47 , RAM cost:1.7966 GB   
  53: ↑ 53 ↓ 46 , RAM cost:1.7966 GB   
  53: ↑ 53 ↓ 45 , RAM cost:1.7966 GB   
  53: ↑ 53 ↓ 44 , RAM cost:1.7966 GB   
  53: ↑ 53 ↓ 43 , RAM cost:1.7966 GB   
  53: ↑ 53 ↓ 42 , RAM cost:1.7966 GB   
  53: ↑ 53 ↓ 41 , RAM cost:1.7966 GB   
  53: ↑ 53 ↓ 40 , RAM cost:1.7966 GB   
  53: ↑ 53 ↓ 39 , RAM cost:1.7966 GB   
  53: ↑ 53 ↓ 38 , RAM cost:1.7966 GB   
  53: ↑ 53 ↓ 37 , RAM cost:1.7966 GB   
  53: ↑ 53 ↓ 36 , RAM cost:1.7966 GB   
  53: ↑ 53 ↓ 35 , RAM cost:1.7966 GB   
  53: ↑ 53 ↓ 34 , RAM cost:1.7966 GB   
  53: ↑ 53 ↓ 33 , RAM cost:1.7966 GB   
  53: ↑ 53 ↓ 32 , RAM cost:1.6662 GB   
  53: ↑ 53 ↓ 31 , RAM cost:1.6662 GB   
  53: ↑ 53 ↓ 30 , RAM cost:1.6662 GB   
  53: ↑ 53 ↓ 29 , RAM cost:1.6662 GB   
  53: ↑ 53 ↓ 28 , RAM cost:1.6662 GB   
  53: ↑ 53 ↓ 27 , RAM cost:1.6662 GB   
  53: ↑ 53 ↓ 26 , RAM cost:1.6662 GB   
  53: ↑ 53 ↓ 25 , RAM cost:1.6662 GB   
  53: ↑ 53 ↓ 24 , RAM cost:1.6662 GB   
  53: ↑ 53 ↓ 23 , RAM cost:1.6662 GB   
  53: ↑ 53 ↓ 22 , RAM cost:1.6662 GB   
  53: ↑ 53 ↓ 21 , RAM cost:1.6662 GB   
  53: ↑ 53 ↓ 20 , RAM cost:1.6662 GB   
  53: ↑ 53 ↓ 19 , RAM cost:1.6662 GB   
  53: ↑ 53 ↓ 18 , RAM cost:1.6663 GB   
  53: ↑ 53 ↓ 17 , RAM cost:1.6663 GB   
  53: ↑ 53 ↓ 16 , RAM cost:1.6663 GB   
  53: ↑ 53 ↓ 15 , RAM cost:1.6663 GB   
  53: ↑ 53 ↓ 14 , RAM cost:1.6663 GB   
  53: ↑ 53 ↓ 13 , RAM cost:1.6663 GB   
  53: ↑ 53 ↓ 12 , RAM cost:1.6663 GB   
  53: ↑ 53 ↓ 11 , RAM cost:1.6663 GB   
  53: ↑ 53 ↓ 10 , RAM cost:1.6663 GB   
  53: ↑ 53 ↓  9 , RAM cost:1.6663 GB   
  53: ↑ 53 ↓  8 , RAM cost:1.6663 GB   
  53: ↑ 53 ↓  7 , RAM cost:1.6663 GB   
  53: ↑ 53 ↓  6 , RAM cost:1.6663 GB   
  53: ↑ 53 ↓  5 , RAM cost:1.6663 GB   
  53: ↑ 53 ↓  4 , RAM cost:1.6663 GB   
  53: ↑ 53 ↓  3 , RAM cost:1.6663 GB   slope: -0.08556, walltime: 19.391 sec, max_RAM_cost: 1.797 GB

Intial Slope = -0.08731
Starting svp pump_{110, 70, 15}

  55: ↑ 51   , RAM cost:1.7994 GB    
  55: ↑ 52   , RAM cost:1.7994 GB    
  55: ↑ 53   , RAM cost:1.7994 GB    
  55: ↑ 54   , RAM cost:1.7994 GB    
  55: ↑ 55   , RAM cost:1.7994 GB    
  55: ↑ 55 ↓ 54 , RAM cost:1.7994 GB   
  55: ↑ 55 ↓ 53 , RAM cost:1.7994 GB   
  55: ↑ 55 ↓ 52 , RAM cost:1.7994 GB   
  55: ↑ 55 ↓ 51 , RAM cost:1.7994 GB   
  55: ↑ 55 ↓ 50 , RAM cost:1.7994 GB   
  55: ↑ 55 ↓ 49 , RAM cost:1.7994 GB   
  55: ↑ 55 ↓ 48 , RAM cost:1.7994 GB   
  55: ↑ 55 ↓ 47 , RAM cost:1.7994 GB   
  55: ↑ 55 ↓ 46 , RAM cost:1.7994 GB   
  55: ↑ 55 ↓ 45 , RAM cost:1.7994 GB   
  55: ↑ 55 ↓ 44 , RAM cost:1.7994 GB   
  55: ↑ 55 ↓ 43 , RAM cost:1.7994 GB   
  55: ↑ 55 ↓ 42 , RAM cost:1.7994 GB   
  55: ↑ 55 ↓ 41 , RAM cost:1.7994 GB   
  55: ↑ 55 ↓ 40 , RAM cost:1.7994 GB   
  55: ↑ 55 ↓ 39 , RAM cost:1.7994 GB   
  55: ↑ 55 ↓ 38 , RAM cost:1.7994 GB   
  55: ↑ 55 ↓ 37 , RAM cost:1.7994 GB   
  55: ↑ 55 ↓ 36 , RAM cost:1.7994 GB   
  55: ↑ 55 ↓ 35 , RAM cost:1.7994 GB   
  55: ↑ 55 ↓ 34 , RAM cost:1.7994 GB   
  55: ↑ 55 ↓ 33 , RAM cost:1.7994 GB   
  55: ↑ 55 ↓ 32 , RAM cost:1.6669 GB   
  55: ↑ 55 ↓ 31 , RAM cost:1.6669 GB   
  55: ↑ 55 ↓ 30 , RAM cost:1.6669 GB   
