-------------------------
Primal attack, LWE challenge n=80, alpha=0.0050
Chose 270 samples. Predict solution at bkz-100 + svp-132

GSO precision:  qd
Intial Slope = -0.03884

Without otf, would expect solution at pump-120, estimate time cost = 3031.256 s 
Starting svp pump_{129, 142, 22}, n_max = 120

 120: ↑ 51   , RAM cost:1.7853 GB    
 120: ↑ 52   , RAM cost:1.7853 GB    
 120: ↑ 53   , RAM cost:1.7853 GB    
 120: ↑ 54   , RAM cost:1.7853 GB    
 120: ↑ 55   , RAM cost:1.7853 GB    
 120: ↑ 56   , RAM cost:1.7853 GB    
 120: ↑ 57   , RAM cost:1.7853 GB    
 120: ↑ 58   , RAM cost:1.7857 GB    
 120: ↑ 59   , RAM cost:1.7865 GB    
 120: ↑ 60   , RAM cost:1.7873 GB    
 120: ↑104   , RAM cost:5.5652 GB    
 120: ↑105   , RAM cost:6.0654 GB    
 120: ↑106   , RAM cost:6.6351 GB    
 120: ↑107   , RAM cost:7.3098 GB    
 120: ↑107   , RAM cost:8.1708 GB    
 120: ↑108   , RAM cost:8.1990 GB    
 120: ↑108   , RAM cost:9.1396 GB    
 120: ↑109   , RAM cost:9.1429 GB    
 120: ↑110   , RAM cost:10.1501 GB    
 120: ↑110   , RAM cost:11.3116 GB    
 120: ↑111   , RAM cost:11.3237 GB    
 120: ↑112   , RAM cost:12.8458 GB    
 120: ↑113   , RAM cost:14.4661 GB    
 120: ↑114   , RAM cost:16.4130 GB    
 120: ↑114   , RAM cost:18.5541 GB    
 120: ↑115   , RAM cost:18.5541 GB    
 120: ↑116   , RAM cost:20.9030 GB    
 120: ↑117   , RAM cost:24.1009 GB    
 120: ↑118   , RAM cost:27.2763 GB    
 120: ↑119   , RAM cost:30.9429 GB    
 120: ↑120   , RAM cost:36.1162 GB    
 120: ↑120 ↓119 , RAM cost:41.1730 GB   
 120: ↑120 ↓118 , RAM cost:41.1730 GB   
 120: ↑120 ↓117 , RAM cost:41.1730 GB   
 120: ↑120 ↓116 , RAM cost:41.1730 GB   
 120: ↑120 ↓115 , RAM cost:41.1730 GB   
 120: ↑120 ↓114 , RAM cost:41.1730 GB   
 120: ↑120 ↓113 , RAM cost:41.1730 GB   
 120: ↑120 ↓112 , RAM cost:41.1730 GB   
 120: ↑120 ↓111 , RAM cost:41.1730 GB   
 120: ↑120 ↓110 , RAM cost:41.1730 GB   
 120: ↑120 ↓109 , RAM cost:41.1730 GB   
 120: ↑120 ↓108 , RAM cost:41.1730 GB   
 120: ↑120 ↓107 , RAM cost:41.1730 GB   
 120: ↑120 ↓106 , RAM cost:41.1730 GB   
 120: ↑120 ↓105 , RAM cost:41.1730 GB   
 120: ↑120 ↓104 , RAM cost:41.1730 GB   
 120: ↑120 ↓103 , RAM cost:41.1730 GB   
 120: ↑120 ↓102 , RAM cost:41.1730 GB   
 120: ↑120 ↓101 , RAM cost:41.1730 GB   
 120: ↑120 ↓100 , RAM cost:41.1730 GB   
 120: ↑120 ↓ 99 , RAM cost:41.1730 GB   
 120: ↑120 ↓ 98 , RAM cost:41.1730 GB   
 120: ↑120 ↓ 97 , RAM cost:41.1730 GB   
 120: ↑120 ↓ 96 , RAM cost:41.0479 GB   
 120: ↑120 ↓ 95 , RAM cost:41.0479 GB   
 120: ↑120 ↓ 94 , RAM cost:41.0479 GB   
 120: ↑120 ↓ 93 , RAM cost:41.0479 GB   
 120: ↑120 ↓ 92 , RAM cost:41.0479 GB   
 120: ↑120 ↓ 91 , RAM cost:41.0479 GB   
 120: ↑120 ↓ 90 , RAM cost:40.9914 GB   
 120: ↑120 ↓ 89 , RAM cost:40.9914 GB   
 120: ↑120 ↓ 88 , RAM cost:40.9914 GB   
 120: ↑120 ↓ 87 , RAM cost:40.9914 GB   
 120: ↑120 ↓ 86 , RAM cost:40.9914 GB   
 120: ↑120 ↓ 85 , RAM cost:40.9914 GB   
 120: ↑120 ↓ 84 , RAM cost:40.9914 GB   
 120: ↑120 ↓ 83 , RAM cost:40.9914 GB   
 120: ↑120 ↓ 82 , RAM cost:40.9914 GB   
 120: ↑120 ↓ 81 , RAM cost:40.9914 GB   
 120: ↑120 ↓ 80 , RAM cost:40.9914 GB   
 120: ↑120 ↓ 79 , RAM cost:40.9914 GB   
 120: ↑120 ↓ 78 , RAM cost:40.9914 GB   
 120: ↑120 ↓ 77 , RAM cost:40.9914 GB   
 120: ↑120 ↓ 76 , RAM cost:40.9914 GB   
 120: ↑120 ↓ 75 , RAM cost:40.9914 GB   
 120: ↑120 ↓ 74 , RAM cost:40.9914 GB   
 120: ↑120 ↓ 73 , RAM cost:40.9914 GB   
 120: ↑120 ↓ 72 , RAM cost:40.9914 GB   
 120: ↑120 ↓ 71 , RAM cost:40.9914 GB   
 120: ↑120 ↓ 70 , RAM cost:40.9914 GB   
 120: ↑120 ↓ 69 , RAM cost:40.9914 GB   
 120: ↑120 ↓ 68 , RAM cost:40.9914 GB   
 120: ↑120 ↓ 67 , RAM cost:40.9914 GB   
 120: ↑120 ↓ 66 , RAM cost:40.9914 GB   
 120: ↑120 ↓ 65 , RAM cost:40.9914 GB   
 120: ↑120 ↓ 64 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 63 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 62 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 61 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 60 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 59 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 58 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 57 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 56 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 55 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 54 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 53 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 52 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 51 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 50 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 49 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 48 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 47 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 46 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 45 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 44 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 43 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 42 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 41 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 40 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 39 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 38 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 37 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 36 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 35 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 34 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 33 , RAM cost:40.8663 GB   
 120: ↑120 ↓ 32 , RAM cost:40.7412 GB   
 120: ↑120 ↓ 31 , RAM cost:40.7412 GB   
 120: ↑120 ↓ 30 , RAM cost:40.7412 GB   
 120: ↑120 ↓ 29 , RAM cost:40.7412 GB   
 120: ↑120 ↓ 28 , RAM cost:40.7412 GB   
 120: ↑120 ↓ 27 , RAM cost:40.7412 GB   
 120: ↑120 ↓ 26 , RAM cost:40.7412 GB   
 120: ↑120 ↓ 25 , RAM cost:40.7412 GB   
 120: ↑120 ↓ 24 , RAM cost:40.7412 GB   
 120: ↑120 ↓ 23 , RAM cost:40.7412 GB   
 120: ↑120 ↓ 22 , RAM cost:40.7412 GB   
 120: ↑120 ↓ 21 , RAM cost:40.7412 GB   
 120: ↑120 ↓ 20 , RAM cost:40.7412 GB   
 120: ↑120 ↓ 19 , RAM cost:40.7412 GB   
 120: ↑120 ↓ 18 , RAM cost:40.7412 GB   
 120: ↑120 ↓ 17 , RAM cost:40.7412 GB   
 120: ↑120 ↓ 16 , RAM cost:40.7412 GB   
 120: ↑120 ↓ 15 , RAM cost:40.7412 GB   
 120: ↑120 ↓ 14 , RAM cost:40.7412 GB   
 120: ↑120 ↓ 13 , RAM cost:40.7412 GB   
 120: ↑120 ↓ 12 , RAM cost:40.7412 GB   
 120: ↑120 ↓ 11 , RAM cost:40.7412 GB   
 120: ↑120 ↓ 10 , RAM cost:40.7412 GB   
 120: ↑120 ↓  9 , RAM cost:40.7412 GB   
 120: ↑120 ↓  8 , RAM cost:40.7412 GB   
 120: ↑120 ↓  7 , RAM cost:40.7412 GB   
 120: ↑120 ↓  6 , RAM cost:40.7412 GB   
 120: ↑120 ↓  5 , RAM cost:40.7412 GB   
 120: ↑120 ↓  4 , RAM cost:40.7412 GB   
 120: ↑120 ↓  3 , RAM cost:40.7412 GB   
 120: ↑ 51   , RAM cost:40.8664 GB    
 120: ↑ 52   , RAM cost:40.8664 GB    
 120: ↑ 53   , RAM cost:40.8664 GB    
 120: ↑ 54   , RAM cost:40.8664 GB    
 120: ↑ 55   , RAM cost:40.8664 GB    
 120: ↑ 56   , RAM cost:40.8664 GB    
 120: ↑ 57   , RAM cost:40.8664 GB    
 120: ↑ 58   , RAM cost:40.8664 GB    
 120: ↑ 59   , RAM cost:40.8664 GB    
 120: ↑ 60   , RAM cost:40.8664 GB    
 120: ↑ 61   , RAM cost:40.8664 GB    
 120: ↑ 62   , RAM cost:40.8664 GB    
 120: ↑ 63   , RAM cost:40.8664 GB    
 120: ↑ 64   , RAM cost:40.8664 GB    
 120: ↑ 65   , RAM cost:40.9912 GB    
 120: ↑ 66   , RAM cost:40.9912 GB    
 120: ↑ 67   , RAM cost:40.9912 GB    
 120: ↑ 68   , RAM cost:40.9912 GB    
 120: ↑ 69   , RAM cost:40.9912 GB    
 120: ↑ 70   , RAM cost:40.9912 GB    
 120: ↑ 71   , RAM cost:40.9912 GB    
 120: ↑ 72   , RAM cost:40.9501 GB    
 120: ↑ 73   , RAM cost:40.9501 GB    
 120: ↑ 74   , RAM cost:40.9501 GB    
 120: ↑ 75   , RAM cost:40.9501 GB    
 120: ↑ 76   , RAM cost:40.9501 GB    
 120: ↑ 77   , RAM cost:40.9501 GB    
 120: ↑ 78   , RAM cost:40.9501 GB    
 120: ↑ 79   , RAM cost:40.9501 GB    
 120: ↑ 80   , RAM cost:40.9501 GB    
 120: ↑ 81   , RAM cost:40.9501 GB    
 120: ↑ 82   , RAM cost:40.9501 GB    
 120: ↑ 83   , RAM cost:40.9501 GB    
 120: ↑ 84   , RAM cost:40.9501 GB    
 120: ↑ 85   , RAM cost:40.9589 GB    
 120: ↑ 86   , RAM cost:40.8987 GB    
 120: ↑ 87   , RAM cost:40.8997 GB    
 120: ↑ 88   , RAM cost:40.7971 GB    
 120: ↑ 89   , RAM cost:40.7978 GB    
 120: ↑ 90   , RAM cost:40.8172 GB    
 120: ↑ 91   , RAM cost:40.8172 GB    
 120: ↑ 92   , RAM cost:40.8172 GB    
 120: ↑ 93   , RAM cost:40.8184 GB    
 120: ↑ 94   , RAM cost:40.8184 GB    
 120: ↑ 95   , RAM cost:40.8190 GB    
 120: ↑ 96   , RAM cost:40.8192 GB    
 120: ↑ 97   , RAM cost:40.9452 GB    
 120: ↑ 98   , RAM cost:40.9463 GB    
 120: ↑ 99   , RAM cost:40.9491 GB    
 120: ↑100   , RAM cost:40.9503 GB    
 120: ↑101   , RAM cost:40.9506 GB    
 120: ↑102   , RAM cost:40.9518 GB    
 120: ↑103   , RAM cost:40.9553 GB    
 120: ↑104   , RAM cost:40.9576 GB    
 120: ↑105   , RAM cost:40.9583 GB    
 120: ↑106   , RAM cost:40.9587 GB    
 120: ↑107   , RAM cost:40.9689 GB    
 120: ↑108   , RAM cost:40.9724 GB    
 120: ↑109   , RAM cost:40.9729 GB    
 120: ↑110   , RAM cost:40.9769 GB    
 120: ↑111   , RAM cost:40.9783 GB    
 120: ↑112   , RAM cost:40.9993 GB    
 120: ↑113   , RAM cost:41.0017 GB    
 120: ↑113   , RAM cost:41.0043 GB    
 120: ↑113   , RAM cost:41.0063 GB    
 120: ↑114   , RAM cost:41.0063 GB    
 120: ↑115   , RAM cost:41.0098 GB    
 120: ↑115   , RAM cost:41.0475 GB    
 120: ↑116   , RAM cost:41.0476 GB    
 120: ↑117   , RAM cost:41.0593 GB    
 120: ↑118   , RAM cost:41.0620 GB    
 120: ↑119   , RAM cost:41.0716 GB    
 120: ↑120   , RAM cost:41.0796 GB    
 120: ↑120   , RAM cost:41.2523 GB    
 120: ↑120 ↓119 , RAM cost:41.2523 GB   
 120: ↑120 ↓118 , RAM cost:41.2523 GB   
 120: ↑120 ↓117 , RAM cost:41.2523 GB   
 120: ↑120 ↓116 , RAM cost:41.2523 GB   
 120: ↑120 ↓115 , RAM cost:41.2523 GB   
 120: ↑120 ↓114 , RAM cost:41.2210 GB   
 120: ↑120 ↓113 , RAM cost:41.2696 GB   
 120: ↑120 ↓112 , RAM cost:41.2696 GB   
 120: ↑120 ↓111 , RAM cost:41.2696 GB   
 120: ↑120 ↓110 , RAM cost:41.2696 GB   
 120: ↑120 ↓109 , RAM cost:41.2696 GB   
 120: ↑120 ↓108 , RAM cost:41.2696 GB   
 120: ↑120 ↓107 , RAM cost:41.2696 GB   
 120: ↑120 ↓106 , RAM cost:41.2696 GB   
 120: ↑120 ↓105 , RAM cost:41.2696 GB   
 120: ↑120 ↓104 , RAM cost:41.2696 GB   
 120: ↑120 ↓103 , RAM cost:41.2696 GB   
 120: ↑120 ↓102 , RAM cost:41.2696 GB   
 120: ↑120 ↓101 , RAM cost:41.2696 GB   
 120: ↑120 ↓100 , RAM cost:41.2696 GB   
 120: ↑120 ↓ 99 , RAM cost:41.2696 GB   
 120: ↑120 ↓ 98 , RAM cost:41.2696 GB   
 120: ↑120 ↓ 97 , RAM cost:41.2696 GB   
 120: ↑120 ↓ 96 , RAM cost:41.1442 GB   
 120: ↑120 ↓ 95 , RAM cost:41.1442 GB   
 120: ↑120 ↓ 94 , RAM cost:41.1442 GB   
 120: ↑120 ↓ 93 , RAM cost:41.1444 GB   
 120: ↑120 ↓ 92 , RAM cost:41.1444 GB   
 120: ↑120 ↓ 91 , RAM cost:41.1446 GB   
 120: ↑120 ↓ 90 , RAM cost:41.1446 GB   
 120: ↑120 ↓ 89 , RAM cost:41.1446 GB   
 120: ↑120 ↓ 88 , RAM cost:41.1446 GB   
 120: ↑120 ↓ 87 , RAM cost:41.1446 GB   
 120: ↑120 ↓ 86 , RAM cost:41.1446 GB   
 120: ↑120 ↓ 85 , RAM cost:41.1446 GB   
 120: ↑120 ↓ 84 , RAM cost:41.1446 GB   
 120: ↑120 ↓ 83 , RAM cost:41.1446 GB   
 120: ↑120 ↓ 82 , RAM cost:41.1446 GB   
 120: ↑120 ↓ 81 , RAM cost:41.1446 GB   
 120: ↑120 ↓ 80 , RAM cost:41.1446 GB   
 120: ↑120 ↓ 79 , RAM cost:41.1446 GB   
 120: ↑120 ↓ 78 , RAM cost:41.1446 GB   
 120: ↑120 ↓ 77 , RAM cost:41.1446 GB   
 120: ↑120 ↓ 76 , RAM cost:41.1446 GB   
 120: ↑120 ↓ 75 , RAM cost:41.1446 GB   
 120: ↑120 ↓ 74 , RAM cost:41.1446 GB   
 120: ↑120 ↓ 73 , RAM cost:41.1446 GB   
 120: ↑120 ↓ 72 , RAM cost:41.1446 GB   
 120: ↑120 ↓ 71 , RAM cost:41.1446 GB   
 120: ↑120 ↓ 70 , RAM cost:41.1446 GB   
 120: ↑120 ↓ 69 , RAM cost:41.1446 GB   
 120: ↑120 ↓ 68 , RAM cost:41.1446 GB   
 120: ↑120 ↓ 67 , RAM cost:41.1446 GB   
 120: ↑120 ↓ 66 , RAM cost:41.1446 GB   
 120: ↑120 ↓ 65 , RAM cost:41.1446 GB   
 120: ↑120 ↓ 64 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 63 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 62 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 61 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 60 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 59 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 58 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 57 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 56 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 55 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 54 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 53 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 52 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 51 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 50 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 49 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 48 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 47 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 46 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 45 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 44 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 43 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 42 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 41 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 40 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 39 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 38 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 37 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 36 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 35 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 34 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 33 , RAM cost:41.0195 GB   
 120: ↑120 ↓ 32 , RAM cost:40.8943 GB   
 120: ↑120 ↓ 31 , RAM cost:40.8943 GB   
 120: ↑120 ↓ 30 , RAM cost:40.8943 GB   
 120: ↑120 ↓ 29 , RAM cost:40.8943 GB   
 120: ↑120 ↓ 28 , RAM cost:40.8943 GB   
 120: ↑120 ↓ 27 , RAM cost:40.8943 GB   
 120: ↑120 ↓ 26 , RAM cost:40.8943 GB   
 120: ↑120 ↓ 25 , RAM cost:40.8943 GB   
 120: ↑120 ↓ 24 , RAM cost:40.8943 GB   
 120: ↑120 ↓ 23 , RAM cost:40.8943 GB   
 120: ↑120 ↓ 22 , RAM cost:40.8943 GB   
 120: ↑120 ↓ 21 , RAM cost:40.8943 GB   
 120: ↑120 ↓ 20 , RAM cost:40.8943 GB   
 120: ↑120 ↓ 19 , RAM cost:40.8943 GB   
 120: ↑120 ↓ 18 , RAM cost:40.8943 GB   
 120: ↑120 ↓ 17 , RAM cost:40.8943 GB   
 120: ↑120 ↓ 16 , RAM cost:40.8943 GB   
 120: ↑120 ↓ 15 , RAM cost:40.8943 GB   
 120: ↑120 ↓ 14 , RAM cost:40.8943 GB   
 120: ↑120 ↓ 13 , RAM cost:40.8943 GB   
 120: ↑120 ↓ 12 , RAM cost:40.8943 GB   
 120: ↑120 ↓ 11 , RAM cost:40.8943 GB   
 120: ↑120 ↓ 10 , RAM cost:40.8943 GB   
 120: ↑120 ↓  9 , RAM cost:40.8943 GB   
 120: ↑120 ↓  8 , RAM cost:40.8943 GB   
 120: ↑120 ↓  7 , RAM cost:40.8943 GB   
 120: ↑120 ↓  6 , RAM cost:40.8943 GB   
 120: ↑120 ↓  5 , RAM cost:40.8943 GB   
 120: ↑120 ↓  4 , RAM cost:40.8943 GB   
 120: ↑120 ↓  3 , RAM cost:40.8943 GB   
 slope: -0.04011, walltime: 3997.637 sec

