Start Pump Cost Test Experiment, test 2 times for each blocksizes
1. fixed beta = 80, threads = 32, gpus = 2 

Starting a pnjBKZ-80 tour for dim=180. 
Intial Slope = -0.08747
k:0, b:63, f:0  , RAM cost: 1.6750 GB, Pump Cost: 9.2995 s 
k:82, b:92, f:29  , RAM cost: 1.7360 GB, Pump Cost: 26.2439 s 
k:83, b:92, f:29  , RAM cost: 1.7357 GB, Pump Cost: 22.3303 s 
k:84, b:92, f:29  , RAM cost: 1.7357 GB, Pump Cost: 24.8164 s 
k:85, b:92, f:29  , RAM cost: 1.7359 GB, Pump Cost: 22.7869 s 
k:86, b:92, f:29  , RAM cost: 1.7361 GB, Pump Cost: 25.5372 s 
k:87, b:92, f:29  , RAM cost: 1.7359 GB, Pump Cost: 28.9148 s 
k:88, b:92, f:29  , RAM cost: 1.7358 GB, Pump Cost: 27.4685 s 
k:89, b:91, f:28  , RAM cost: 1.7358 GB, Pump Cost: 27.5417 s 
k:90, b:90, f:27  , RAM cost: 1.7359 GB, Pump Cost: 26.9517 s 
k:91, b:89, f:26  , RAM cost: 1.7359 GB, Pump Cost: 26.2541 s 
k:92, b:88, f:25  , RAM cost: 1.7358 GB, Pump Cost: 24.1898 s 
k:93, b:87, f:24  , RAM cost: 1.7357 GB, Pump Cost: 24.0790 s 
k:94, b:86, f:23  , RAM cost: 1.7358 GB, Pump Cost: 23.2203 s 
k:95, b:85, f:22  , RAM cost: 1.7358 GB, Pump Cost: 25.0636 s 
k:96, b:84, f:21  , RAM cost: 1.7358 GB, Pump Cost: 25.1541 s 
k:97, b:83, f:20  , RAM cost: 1.7361 GB, Pump Cost: 23.0917 s 
k:98, b:82, f:19  , RAM cost: 1.7359 GB, Pump Cost: 23.9273 s 
k:99, b:81, f:18  , RAM cost: 1.7357 GB, Pump Cost: 25.1535 s 
k:100, b:80, f:17  , RAM cost: 1.7358 GB, Pump Cost: 23.8582 s 
k:101, b:79, f:16  , RAM cost: 1.7358 GB, Pump Cost: 22.4630 s 
k:102, b:78, f:15  , RAM cost: 1.7358 GB, Pump Cost: 22.4761 s 
k:103, b:77, f:14  , RAM cost: 1.7358 GB, Pump Cost: 21.6596 s 
k:104, b:76, f:13  , RAM cost: 1.7360 GB, Pump Cost: 20.9486 s 
k:105, b:75, f:12  , RAM cost: 1.7358 GB, Pump Cost: 22.1094 s 
k:106, b:74, f:11  , RAM cost: 1.7357 GB, Pump Cost: 22.6896 s 
k:107, b:73, f:10  , RAM cost: 1.7358 GB, Pump Cost: 20.8064 s 
k:108, b:72, f:9  , RAM cost: 1.7357 GB, Pump Cost: 19.5801 s 
k:109, b:71, f:8  , RAM cost: 1.7358 GB, Pump Cost: 20.1448 s 
k:110, b:70, f:7  , RAM cost: 1.7357 GB, Pump Cost: 18.4738 s 
k:111, b:69, f:6  , RAM cost: 1.7358 GB, Pump Cost: 18.2756 s 
k:112, b:68, f:5  , RAM cost: 1.7361 GB, Pump Cost: 18.3924 s 
k:113, b:67, f:4  , RAM cost: 1.7360 GB, Pump Cost: 8.0489 s 
k:114, b:66, f:3  , RAM cost: 1.7360 GB, Pump Cost: 6.8501 s 
k:115, b:65, f:2  , RAM cost: 1.7360 GB, Pump Cost: 5.7963 s 
k:116, b:64, f:1  , RAM cost: 1.7358 GB, Pump Cost: 6.6186 s 
k:117, b:63, f:0  , RAM cost: 1.7358 GB, Pump Cost: 6.6186 s 

[9.299460172653198, 7.350211143493652, 7.27112078666687, 6.647211790084839, 7.141155242919922, 6.908844232559204, 7.133125305175781, 7.065644264221191, 7.665609359741211, 7.687603950500488, 7.898472547531128, 7.506963729858398, 8.146453142166138, 7.710465669631958, 7.891985177993774, 8.410337209701538, 8.371744871139526, 8.50048017501831, 8.73694372177124, 9.004093885421753, 9.064389705657959, 9.248249053955078, 8.964919090270996, 9.80592131614685, 10.04617977142334, 9.698718070983887, 10.335524082183838, 10.48691463470459, 11.090964555740356, 11.701865673065186, 10.665637254714966, 11.595507621765137, 11.15438985824585, 11.019091844558716, 11.826859951019287, 12.158145189285278, 13.023074865341187, 12.580994606018066, 11.834622383117676, 13.090555429458618, 13.437300682067871, 13.423019647598267, 13.286741495132446, 13.746679782867432, 14.349671363830566, 13.5231032371521, 13.946563959121704, 14.774494647979736, 14.51299500465393, 14.07045841217041, 12.588724613189697, 15.10179877281189, 15.312106609344482, 14.884136199951172, 15.668215036392212, 15.975193500518799, 15.530922651290894, 14.931304693222046, 15.960983037948608, 15.063116550445557, 14.931199550628662, 17.080437183380127, 17.541771173477173, 16.083790063858032, 16.647025108337402, 15.503215789794922, 17.192705392837524, 16.525108814239502, 17.098581314086914, 17.458086252212524, 16.293544054031372, 17.437864542007446, 16.95675015449524, 18.698432207107544, 18.56521725654602, 18.435930490493774, 19.035151958465576, 18.060024976730347, 19.779601335525513, 22.143627882003784, 20.467668294906616, 19.1493661403656, 19.613567352294922, 19.911404371261597, 19.709350109100342, 20.65743350982666, 20.809112548828125, 19.807425022125244, 18.372394323349, 21.159069061279297, 20.86651301383972, 21.9503071308136, 20.32928156852722, 21.799317598342896, 22.962071657180786, 21.98655605316162, 20.697513818740845, 23.25239896774292, 25.368586778640747, 23.119287490844727, 23.08327603340149, 24.278937339782715, 22.986169815063477, 25.62982726097107, 22.005082368850708, 24.18226647377014, 26.008689165115356, 26.57728600502014, 25.678695678710938, 26.01320767402649, 26.00071120262146, 26.243869304656982, 22.330250024795532, 24.816412925720215, 22.7868812084198, 25.53718113899231, 28.91483473777771, 27.468547821044922, 27.541736841201782, 26.951664209365845, 26.254087209701538, 24.189808130264282, 24.07898259162903, 23.22026300430298, 25.063573837280273, 25.154127836227417, 23.091695547103882, 23.927322387695312, 25.15345335006714, 23.858240127563477, 22.462960481643677, 22.47605323791504, 21.659647703170776, 20.948632955551147, 22.10935401916504, 22.689599752426147, 20.80638313293457, 19.580068588256836, 20.14484977722168, 18.473769426345825, 18.275557041168213, 18.392413854599, 8.048884630203247, 6.85006046295166, 5.796332836151123, 6.618629217147827, 14.158246278762817]
slope: -0.05144, walltime: 2582.121 sec

Starting a pnjBKZ-80 tour for dim=180. 
Intial Slope = -0.08747
k:0, b:63, f:0  , RAM cost: 1.8293 GB, Pump Cost: 7.8099 s 
k:0, b:64, f:1  , RAM cost: 1.8314 GB, Pump Cost: 7.6554 s 
k:0, b:65, f:2  , RAM cost: 1.8316 GB, Pump Cost: 6.8153 s 
k:0, b:66, f:3  , RAM cost: 1.8316 GB, Pump Cost: 7.2304 s 
k:0, b:67, f:4  , RAM cost: 1.8317 GB, Pump Cost: 6.8546 s 
k:0, b:68, f:5  , RAM cost: 1.8342 GB, Pump Cost: 7.0597 s 
k:0, b:69, f:6  , RAM cost: 1.8343 GB, Pump Cost: 6.9840 s 
k:0, b:70, f:7  , RAM cost: 1.8343 GB, Pump Cost: 7.2745 s 
k:0, b:71, f:8  , RAM cost: 1.8365 GB, Pump Cost: 6.9391 s 
k:0, b:72, f:9  , RAM cost: 1.8364 GB, Pump Cost: 7.6474 s 
k:0, b:73, f:10  , RAM cost: 1.8386 GB, Pump Cost: 7.7002 s 
k:0, b:74, f:11  , RAM cost: 1.8386 GB, Pump Cost: 7.7038 s 
k:0, b:75, f:12  , RAM cost: 1.8384 GB, Pump Cost: 7.8654 s 
k:0, b:76, f:13  , RAM cost: 1.8385 GB, Pump Cost: 8.0894 s 
k:0, b:77, f:14  , RAM cost: 1.8385 GB, Pump Cost: 8.0766 s 
k:0, b:78, f:15  , RAM cost: 1.8384 GB, Pump Cost: 8.6159 s 
k:0, b:79, f:16  , RAM cost: 1.8386 GB, Pump Cost: 8.9870 s 
k:0, b:80, f:17  , RAM cost: 1.8386 GB, Pump Cost: 8.4738 s 
k:0, b:81, f:18  , RAM cost: 1.8384 GB, Pump Cost: 9.4112 s 
k:0, b:82, f:19  , RAM cost: 1.8383 GB, Pump Cost: 9.2649 s 
k:0, b:83, f:20  , RAM cost: 1.8383 GB, Pump Cost: 9.0050 s 
k:0, b:84, f:21  , RAM cost: 1.8404 GB, Pump Cost: 9.3722 s 
k:0, b:85, f:22  , RAM cost: 1.8406 GB, Pump Cost: 10.0413 s 
k:0, b:86, f:23  , RAM cost: 1.8404 GB, Pump Cost: 9.8302 s 
k:0, b:87, f:24  , RAM cost: 1.8407 GB, Pump Cost: 9.9425 s 
k:0, b:88, f:25  , RAM cost: 1.8407 GB, Pump Cost: 10.1510 s 
k:0, b:89, f:26  , RAM cost: 1.8404 GB, Pump Cost: 10.1376 s 
k:0, b:90, f:27  , RAM cost: 1.8405 GB, Pump Cost: 10.5985 s 
k:0, b:91, f:28  , RAM cost: 1.8404 GB, Pump Cost: 10.5953 s 
k:0, b:92, f:29  , RAM cost: 1.8405 GB, Pump Cost: 11.0028 s 
k:1, b:92, f:29  , RAM cost: 1.8405 GB, Pump Cost: 12.1335 s 
k:2, b:92, f:29  , RAM cost: 1.8404 GB, Pump Cost: 11.5100 s 
k:3, b:92, f:29  , RAM cost: 1.8404 GB, Pump Cost: 11.8156 s 
k:4, b:92, f:29  , RAM cost: 1.8408 GB, Pump Cost: 12.4847 s 
k:5, b:92, f:29  , RAM cost: 1.8406 GB, Pump Cost: 12.0025 s 
k:6, b:92, f:29  , RAM cost: 1.8408 GB, Pump Cost: 12.1100 s 
k:7, b:92, f:29  , RAM cost: 1.8404 GB, Pump Cost: 13.0544 s 
k:8, b:92, f:29  , RAM cost: 1.8405 GB, Pump Cost: 13.2003 s 
k:9, b:92, f:29  , RAM cost: 1.8404 GB, Pump Cost: 12.3327 s 
k:10, b:92, f:29  , RAM cost: 1.8404 GB, Pump Cost: 12.8918 s 
k:11, b:92, f:29  , RAM cost: 1.8405 GB, Pump Cost: 12.7091 s 
k:12, b:92, f:29  , RAM cost: 1.8404 GB, Pump Cost: 12.3824 s 
k:13, b:92, f:29  , RAM cost: 1.8405 GB, Pump Cost: 13.3025 s 
k:14, b:92, f:29  , RAM cost: 1.8406 GB, Pump Cost: 13.5461 s 
k:15, b:92, f:29  , RAM cost: 1.8405 GB, Pump Cost: 14.0804 s 
k:16, b:92, f:29  , RAM cost: 1.8404 GB, Pump Cost: 12.9768 s 
k:17, b:92, f:29  , RAM cost: 1.8408 GB, Pump Cost: 13.7761 s 
k:18, b:92, f:29  , RAM cost: 1.8406 GB, Pump Cost: 14.5899 s 
k:19, b:92, f:29  , RAM cost: 1.8404 GB, Pump Cost: 14.9813 s 
k:20, b:92, f:29  , RAM cost: 1.8405 GB, Pump Cost: 15.0182 s 
k:21, b:92, f:29  , RAM cost: 1.8405 GB, Pump Cost: 14.0395 s 
k:22, b:92, f:29  , RAM cost: 1.8405 GB, Pump Cost: 14.7485 s 
k:23, b:92, f:29  , RAM cost: 1.8405 GB, Pump Cost: 14.4362 s 
k:24, b:92, f:29  , RAM cost: 1.8406 GB, Pump Cost: 13.8611 s 
k:25, b:92, f:29  , RAM cost: 1.8405 GB, Pump Cost: 15.2922 s 
k:26, b:92, f:29  , RAM cost: 1.8405 GB, Pump Cost: 16.5562 s 
k:27, b:92, f:29  , RAM cost: 1.8426 GB, Pump Cost: 15.4754 s 
k:28, b:92, f:29  , RAM cost: 1.8427 GB, Pump Cost: 16.3173 s 
k:29, b:92, f:29  , RAM cost: 1.8426 GB, Pump Cost: 17.4151 s 
k:30, b:92, f:29  , RAM cost: 1.8425 GB, Pump Cost: 15.6435 s 
k:31, b:92, f:29  , RAM cost: 1.8425 GB, Pump Cost: 16.1562 s 
k:32, b:92, f:29  , RAM cost: 1.8426 GB, Pump Cost: 16.5822 s 
k:33, b:92, f:29  , RAM cost: 1.8425 GB, Pump Cost: 17.2213 s 
k:34, b:92, f:29  , RAM cost: 1.8426 GB, Pump Cost: 15.5175 s 
k:35, b:92, f:29  , RAM cost: 1.8427 GB, Pump Cost: 16.9388 s 
k:36, b:92, f:29  , RAM cost: 1.8428 GB, Pump Cost: 17.8014 s 
k:37, b:92, f:29  , RAM cost: 1.8427 GB, Pump Cost: 17.4516 s 
k:38, b:92, f:29  , RAM cost: 1.8426 GB, Pump Cost: 18.6351 s 
k:39, b:92, f:29  , RAM cost: 1.8427 GB, Pump Cost: 17.9020 s 
k:40, b:92, f:29  , RAM cost: 1.8426 GB, Pump Cost: 18.0774 s 
k:41, b:92, f:29  , RAM cost: 1.8426 GB, Pump Cost: 17.9506 s 
k:42, b:92, f:29  , RAM cost: 1.8426 GB, Pump Cost: 18.9221 s 
k:43, b:92, f:29  , RAM cost: 1.8426 GB, Pump Cost: 18.2282 s 
k:44, b:92, f:29  , RAM cost: 1.8426 GB, Pump Cost: 18.0810 s 
k:45, b:92, f:29  , RAM cost: 1.8426 GB, Pump Cost: 17.7668 s 
k:46, b:92, f:29  , RAM cost: 1.8430 GB, Pump Cost: 18.8199 s 
k:47, b:92, f:29  , RAM cost: 1.8428 GB, Pump Cost: 19.1885 s 
k:48, b:92, f:29  , RAM cost: 1.8427 GB, Pump Cost: 19.4542 s 
k:49, b:92, f:29  , RAM cost: 1.8430 GB, Pump Cost: 20.1038 s 
k:50, b:92, f:29  , RAM cost: 1.8426 GB, Pump Cost: 18.6697 s 
k:51, b:92, f:29  , RAM cost: 1.8427 GB, Pump Cost: 18.5284 s 
k:52, b:92, f:29  , RAM cost: 1.8426 GB, Pump Cost: 19.4903 s 
k:53, b:92, f:29  , RAM cost: 1.8430 GB, Pump Cost: 20.0332 s 
k:54, b:92, f:29  , RAM cost: 1.8426 GB, Pump Cost: 21.3720 s 
k:55, b:92, f:29  , RAM cost: 1.8428 GB, Pump Cost: 20.4105 s 
k:56, b:92, f:29  , RAM cost: 1.8427 GB, Pump Cost: 18.9055 s 
k:57, b:92, f:29  , RAM cost: 1.8427 GB, Pump Cost: 19.7225 s 
k:58, b:92, f:29  , RAM cost: 1.8427 GB, Pump Cost: 21.1329 s 
k:59, b:92, f:29  , RAM cost: 1.8426 GB, Pump Cost: 20.3526 s 
k:60, b:92, f:29  , RAM cost: 1.8426 GB, Pump Cost: 18.1905 s 
k:61, b:92, f:29  , RAM cost: 1.8428 GB, Pump Cost: 21.8612 s 
k:62, b:92, f:29  , RAM cost: 1.8428 GB, Pump Cost: 20.3272 s 
k:63, b:92, f:29  , RAM cost: 1.8428 GB, Pump Cost: 21.8326 s 
k:64, b:92, f:29  , RAM cost: 1.8428 GB, Pump Cost: 23.1786 s 
k:65, b:92, f:29  , RAM cost: 1.8426 GB, Pump Cost: 22.2493 s 
k:66, b:92, f:29  , RAM cost: 1.8428 GB, Pump Cost: 22.1119 s 
k:67, b:92, f:29  , RAM cost: 1.8430 GB, Pump Cost: 22.3685 s 
k:68, b:92, f:29  , RAM cost: 1.8430 GB, Pump Cost: 21.9023 s 
k:69, b:92, f:29  , RAM cost: 1.8428 GB, Pump Cost: 22.1205 s 
k:70, b:92, f:29  , RAM cost: 1.8426 GB, Pump Cost: 23.8185 s 
k:71, b:92, f:29  , RAM cost: 1.8427 GB, Pump Cost: 24.2864 s 
k:72, b:92, f:29  , RAM cost: 1.8430 GB, Pump Cost: 22.3698 s 
k:73, b:92, f:29  , RAM cost: 1.8428 GB, Pump Cost: 22.7460 s 
k:74, b:92, f:29  , RAM cost: 1.8426 GB, Pump Cost: 23.3857 s 
k:75, b:92, f:29  , RAM cost: 1.8427 GB, Pump Cost: 24.3929 s 
k:76, b:92, f:29  , RAM cost: 1.8427 GB, Pump Cost: 21.9672 s 
k:77, b:92, f:29  , RAM cost: 1.8426 GB, Pump Cost: 24.6466 s 
k:78, b:92, f:29  , RAM cost: 1.8427 GB, Pump Cost: 23.8818 s 
k:79, b:92, f:29  , RAM cost: 1.8426 GB, Pump Cost: 23.4998 s 
k:80, b:92, f:29  , RAM cost: 1.8426 GB, Pump Cost: 24.8609 s 
k:81, b:92, f:29  , RAM cost: 1.8426 GB, Pump Cost: 26.0680 s 
k:82, b:92, f:29  , RAM cost: 1.8427 GB, Pump Cost: 25.3080 s 
k:83, b:92, f:29  , RAM cost: 1.8427 GB, Pump Cost: 25.7018 s 
k:84, b:92, f:29  , RAM cost: 1.8426 GB, Pump Cost: 25.8759 s 
k:85, b:92, f:29  , RAM cost: 1.8426 GB, Pump Cost: 25.3540 s 
k:86, b:92, f:29  , RAM cost: 1.8428 GB, Pump Cost: 27.6306 s 
k:87, b:92, f:29  , RAM cost: 1.8428 GB, Pump Cost: 26.0386 s 
k:88, b:92, f:29  , RAM cost: 1.8430 GB, Pump Cost: 25.9299 s 
k:89, b:91, f:28  , RAM cost: 1.8428 GB, Pump Cost: 25.4671 s 
k:90, b:90, f:27  , RAM cost: 1.8429 GB, Pump Cost: 24.6617 s 
k:91, b:89, f:26  , RAM cost: 1.8429 GB, Pump Cost: 26.5992 s 
k:92, b:88, f:25  , RAM cost: 1.8428 GB, Pump Cost: 23.6778 s 
k:93, b:87, f:24  , RAM cost: 1.8430 GB, Pump Cost: 23.8848 s 
k:94, b:86, f:23  , RAM cost: 1.8430 GB, Pump Cost: 26.5360 s 
k:95, b:85, f:22  , RAM cost: 1.8428 GB, Pump Cost: 24.7999 s 
k:96, b:84, f:21  , RAM cost: 1.8427 GB, Pump Cost: 25.1779 s 
k:97, b:83, f:20  , RAM cost: 1.8428 GB, Pump Cost: 24.4683 s 
k:98, b:82, f:19  , RAM cost: 1.8428 GB, Pump Cost: 22.3485 s 
k:99, b:81, f:18  , RAM cost: 1.8427 GB, Pump Cost: 21.8028 s 
k:100, b:80, f:17  , RAM cost: 1.8429 GB, Pump Cost: 22.1103 s 
k:101, b:79, f:16  , RAM cost: 1.8427 GB, Pump Cost: 21.7785 s 
k:102, b:78, f:15  , RAM cost: 1.8427 GB, Pump Cost: 22.4226 s 
k:103, b:77, f:14  , RAM cost: 1.8430 GB, Pump Cost: 20.8742 s 
k:104, b:76, f:13  , RAM cost: 1.8427 GB, Pump Cost: 20.4827 s 
