Test6. Start Pump Simulator Test 
Intial Slope = -0.08682

Starting svp pump_{130, 50, 5}

  45: ↑ 45   , RAM cost:1.7487 GB    
  45: ↑ 45 ↓ 44 , RAM cost:1.7488 GB   
  45: ↑ 45 ↓ 43 , RAM cost:1.7488 GB   
  45: ↑ 45 ↓ 42 , RAM cost:1.7488 GB   
  45: ↑ 45 ↓ 41 , RAM cost:1.7502 GB   
  45: ↑ 45 ↓ 20 , RAM cost:1.6314 GB   
  45: ↑ 45 ↓ 19 , RAM cost:1.6314 GB   
  45: ↑ 45 ↓ 18 , RAM cost:1.6314 GB   
  45: ↑ 45 ↓ 17 , RAM cost:1.6314 GB   
  45: ↑ 45 ↓ 16 , RAM cost:1.6314 GB   
  45: ↑ 45 ↓ 15 , RAM cost:1.6314 GB   
  45: ↑ 45 ↓ 14 , RAM cost:1.6314 GB   
  45: ↑ 45 ↓ 13 , RAM cost:1.6314 GB   
  45: ↑ 45 ↓ 12 , RAM cost:1.6314 GB   
  45: ↑ 45 ↓ 11 , RAM cost:1.6315 GB   
  45: ↑ 45 ↓ 10 , RAM cost:1.6315 GB   
  45: ↑ 45 ↓  9 , RAM cost:1.6315 GB   
  45: ↑ 45 ↓  8 , RAM cost:1.6315 GB   
  45: ↑ 45 ↓  7 , RAM cost:1.6315 GB   
  45: ↑ 45 ↓  6 , RAM cost:1.6315 GB   
  45: ↑ 45 ↓  5 , RAM cost:1.6315 GB   
  45: ↑ 45 ↓  4 , RAM cost:1.6315 GB   
  45: ↑ 45 ↓  3 , RAM cost:1.6315 GB   slope: -0.08625, walltime: 23.308 sec, max_RAM_cost: 1.754 GB
Intial Slope = -0.08892

Starting svp pump_{125, 55, 7}

  48: ↑ 48   , RAM cost:1.7796 GB    
  48: ↑ 48 ↓ 47 , RAM cost:1.7796 GB   
  48: ↑ 48 ↓ 46 , RAM cost:1.7796 GB   
  48: ↑ 48 ↓ 45 , RAM cost:1.7796 GB   
  48: ↑ 48 ↓ 44 , RAM cost:1.7796 GB   
  48: ↑ 48 ↓ 43 , RAM cost:1.7796 GB   
  48: ↑ 48 ↓ 42 , RAM cost:1.7796 GB   
  48: ↑ 48 ↓ 41 , RAM cost:1.7796 GB   
  48: ↑ 48 ↓ 40 , RAM cost:1.7796 GB   
  48: ↑ 48 ↓ 39 , RAM cost:1.7796 GB   
  48: ↑ 48 ↓ 38 , RAM cost:1.7796 GB   
  48: ↑ 48 ↓ 37 , RAM cost:1.7796 GB   
  48: ↑ 48 ↓ 36 , RAM cost:1.7796 GB   
  48: ↑ 48 ↓ 35 , RAM cost:1.7796 GB   
  48: ↑ 48 ↓ 34 , RAM cost:1.7796 GB   
  48: ↑ 48 ↓ 33 , RAM cost:1.7796 GB   
  48: ↑ 48 ↓ 32 , RAM cost:1.6491 GB   
  48: ↑ 48 ↓ 31 , RAM cost:1.6493 GB   
  48: ↑ 48 ↓ 30 , RAM cost:1.6493 GB   
  48: ↑ 48 ↓ 29 , RAM cost:1.6493 GB   
  48: ↑ 48 ↓ 28 , RAM cost:1.6493 GB   
  48: ↑ 48 ↓ 27 , RAM cost:1.6493 GB   
  48: ↑ 48 ↓ 26 , RAM cost:1.6493 GB   
  48: ↑ 48 ↓ 25 , RAM cost:1.6493 GB   
  48: ↑ 48 ↓ 24 , RAM cost:1.6493 GB   
  48: ↑ 48 ↓ 23 , RAM cost:1.6493 GB   
  48: ↑ 48 ↓ 22 , RAM cost:1.6493 GB   
  48: ↑ 48 ↓ 21 , RAM cost:1.6493 GB   
  48: ↑ 48 ↓ 20 , RAM cost:1.6493 GB   
  48: ↑ 48 ↓ 19 , RAM cost:1.6493 GB   
  48: ↑ 48 ↓ 18 , RAM cost:1.6493 GB   
  48: ↑ 48 ↓ 17 , RAM cost:1.6493 GB   
  48: ↑ 48 ↓ 16 , RAM cost:1.6493 GB   
  48: ↑ 48 ↓ 15 , RAM cost:1.6493 GB   
  48: ↑ 48 ↓ 14 , RAM cost:1.6493 GB   
  48: ↑ 48 ↓ 13 , RAM cost:1.6493 GB   
  48: ↑ 48 ↓ 12 , RAM cost:1.6493 GB   
  48: ↑ 48 ↓ 11 , RAM cost:1.6493 GB   
  48: ↑ 48 ↓ 10 , RAM cost:1.6493 GB   
  48: ↑ 48 ↓  9 , RAM cost:1.6493 GB   
  48: ↑ 48 ↓  8 , RAM cost:1.6493 GB   
  48: ↑ 48 ↓  7 , RAM cost:1.6493 GB   
  48: ↑ 48 ↓  6 , RAM cost:1.6493 GB   
  48: ↑ 48 ↓  5 , RAM cost:1.6493 GB   
  48: ↑ 48 ↓  4 , RAM cost:1.6493 GB   
  48: ↑ 48 ↓  3 , RAM cost:1.6493 GB   slope: -0.08833, walltime: 14.726 sec, max_RAM_cost: 1.780 GB

Starting svp pump_{125, 55, 7}

  48: ↑ 48   , RAM cost:1.7767 GB    
  48: ↑ 48 ↓ 47 , RAM cost:1.7767 GB   
  48: ↑ 48 ↓ 46 , RAM cost:1.7767 GB   
  48: ↑ 48 ↓ 45 , RAM cost:1.7767 GB   
  48: ↑ 48 ↓ 44 , RAM cost:1.7767 GB   
  48: ↑ 48 ↓ 43 , RAM cost:1.7767 GB   
  48: ↑ 48 ↓ 42 , RAM cost:1.7767 GB   
  48: ↑ 48 ↓ 41 , RAM cost:1.7771 GB   
  48: ↑ 48 ↓ 40 , RAM cost:1.7771 GB   
  48: ↑ 48 ↓ 39 , RAM cost:1.7771 GB   
  48: ↑ 48 ↓ 38 , RAM cost:1.7771 GB   
  48: ↑ 48 ↓ 37 , RAM cost:1.7771 GB   
  48: ↑ 48 ↓ 36 , RAM cost:1.7771 GB   
  48: ↑ 48 ↓ 35 , RAM cost:1.7771 GB   
  48: ↑ 48 ↓ 34 , RAM cost:1.7771 GB   
  48: ↑ 48 ↓ 33 , RAM cost:1.7771 GB   
  48: ↑ 48 ↓ 32 , RAM cost:1.6540 GB   
  48: ↑ 48 ↓ 31 , RAM cost:1.6542 GB   
  48: ↑ 48 ↓ 30 , RAM cost:1.6542 GB   
  48: ↑ 48 ↓ 29 , RAM cost:1.6542 GB   
  48: ↑ 48 ↓ 28 , RAM cost:1.6542 GB   
  48: ↑ 48 ↓ 27 , RAM cost:1.6542 GB   
  48: ↑ 48 ↓ 26 , RAM cost:1.6542 GB   
  48: ↑ 48 ↓ 25 , RAM cost:1.6542 GB   
  48: ↑ 48 ↓ 24 , RAM cost:1.6542 GB   
  48: ↑ 48 ↓ 23 , RAM cost:1.6542 GB   
  48: ↑ 48 ↓ 22 , RAM cost:1.6542 GB   
  48: ↑ 48 ↓ 21 , RAM cost:1.6542 GB   
  48: ↑ 48 ↓ 20 , RAM cost:1.6542 GB   
  48: ↑ 48 ↓ 19 , RAM cost:1.6542 GB   
  48: ↑ 48 ↓ 18 , RAM cost:1.6542 GB   
  48: ↑ 48 ↓ 17 , RAM cost:1.6542 GB   
  48: ↑ 48 ↓ 16 , RAM cost:1.6542 GB   
  48: ↑ 48 ↓ 15 , RAM cost:1.6542 GB   
  48: ↑ 48 ↓ 14 , RAM cost:1.6542 GB   
  48: ↑ 48 ↓ 13 , RAM cost:1.6542 GB   
  48: ↑ 48 ↓ 12 , RAM cost:1.6542 GB   
  48: ↑ 48 ↓ 11 , RAM cost:1.6542 GB   
  48: ↑ 48 ↓ 10 , RAM cost:1.6542 GB   
  48: ↑ 48 ↓  9 , RAM cost:1.6542 GB   
  48: ↑ 48 ↓  8 , RAM cost:1.6542 GB   
  48: ↑ 48 ↓  7 , RAM cost:1.6542 GB   
  48: ↑ 48 ↓  6 , RAM cost:1.6542 GB   
  48: ↑ 48 ↓  5 , RAM cost:1.6542 GB   
  48: ↑ 48 ↓  4 , RAM cost:1.6542 GB   
  48: ↑ 48 ↓  3 , RAM cost:1.6542 GB   slope: -0.08813, walltime: 26.244 sec, max_RAM_cost: 1.777 GB
Intial Slope = -0.08832

Starting svp pump_{120, 60, 10}

  50: ↑ 50   , RAM cost:1.7887 GB    
  50: ↑ 50 ↓ 49 , RAM cost:1.7887 GB   
  50: ↑ 50 ↓ 48 , RAM cost:1.7887 GB   
  50: ↑ 50 ↓ 47 , RAM cost:1.7887 GB   
  50: ↑ 50 ↓ 46 , RAM cost:1.7887 GB   
  50: ↑ 50 ↓ 45 , RAM cost:1.7887 GB   
  50: ↑ 50 ↓ 44 , RAM cost:1.7887 GB   
  50: ↑ 50 ↓ 43 , RAM cost:1.7887 GB   
  50: ↑ 50 ↓ 42 , RAM cost:1.7887 GB   
  50: ↑ 50 ↓ 41 , RAM cost:1.7887 GB   
  50: ↑ 50 ↓ 40 , RAM cost:1.7887 GB   
  50: ↑ 50 ↓ 39 , RAM cost:1.7887 GB   
  50: ↑ 50 ↓ 38 , RAM cost:1.7887 GB   
  50: ↑ 50 ↓ 37 , RAM cost:1.7887 GB   
  50: ↑ 50 ↓ 36 , RAM cost:1.7887 GB   
  50: ↑ 50 ↓ 35 , RAM cost:1.7887 GB   
  50: ↑ 50 ↓ 34 , RAM cost:1.7887 GB   
  50: ↑ 50 ↓ 33 , RAM cost:1.7887 GB   
  50: ↑ 50 ↓ 32 , RAM cost:1.6559 GB   
  50: ↑ 50 ↓ 31 , RAM cost:1.6561 GB   
  50: ↑ 50 ↓ 30 , RAM cost:1.6561 GB   
  50: ↑ 50 ↓ 29 , RAM cost:1.6562 GB   
  50: ↑ 50 ↓ 28 , RAM cost:1.6562 GB   
  50: ↑ 50 ↓ 27 , RAM cost:1.6562 GB   
  50: ↑ 50 ↓ 26 , RAM cost:1.6562 GB   
  50: ↑ 50 ↓ 25 , RAM cost:1.6562 GB   
  50: ↑ 50 ↓ 24 , RAM cost:1.6562 GB   
  50: ↑ 50 ↓ 23 , RAM cost:1.6562 GB   
  50: ↑ 50 ↓ 22 , RAM cost:1.6562 GB   
  50: ↑ 50 ↓ 21 , RAM cost:1.6562 GB   
  50: ↑ 50 ↓ 20 , RAM cost:1.6562 GB   
  50: ↑ 50 ↓ 19 , RAM cost:1.6562 GB   
  50: ↑ 50 ↓ 18 , RAM cost:1.6562 GB   
  50: ↑ 50 ↓ 17 , RAM cost:1.6562 GB   
  50: ↑ 50 ↓ 16 , RAM cost:1.6562 GB   
  50: ↑ 50 ↓ 15 , RAM cost:1.6562 GB   
  50: ↑ 50 ↓ 14 , RAM cost:1.6562 GB   
  50: ↑ 50 ↓ 13 , RAM cost:1.6562 GB   
  50: ↑ 50 ↓ 12 , RAM cost:1.6562 GB   
  50: ↑ 50 ↓ 11 , RAM cost:1.6562 GB   
  50: ↑ 50 ↓ 10 , RAM cost:1.6562 GB   
  50: ↑ 50 ↓  9 , RAM cost:1.6562 GB   
  50: ↑ 50 ↓  8 , RAM cost:1.6562 GB   
  50: ↑ 50 ↓  7 , RAM cost:1.6562 GB   
  50: ↑ 50 ↓  6 , RAM cost:1.6563 GB   
  50: ↑ 50 ↓  5 , RAM cost:1.6563 GB   
  50: ↑ 50 ↓  4 , RAM cost:1.6563 GB   
  50: ↑ 50 ↓  3 , RAM cost:1.6563 GB   slope: -0.08751, walltime: 17.385 sec, max_RAM_cost: 1.789 GB

Starting svp pump_{120, 60, 10}

  50: ↑ 50   , RAM cost:1.7835 GB    
  50: ↑ 50 ↓ 49 , RAM cost:1.7835 GB   
  50: ↑ 50 ↓ 48 , RAM cost:1.7835 GB   
  50: ↑ 50 ↓ 47 , RAM cost:1.7835 GB   
  50: ↑ 50 ↓ 46 , RAM cost:1.7835 GB   
  50: ↑ 50 ↓ 45 , RAM cost:1.7835 GB   
  50: ↑ 50 ↓ 44 , RAM cost:1.7835 GB   
  50: ↑ 50 ↓ 43 , RAM cost:1.7835 GB   
  50: ↑ 50 ↓ 42 , RAM cost:1.7835 GB   
  50: ↑ 50 ↓ 41 , RAM cost:1.7835 GB   
  50: ↑ 50 ↓ 40 , RAM cost:1.7835 GB   
  50: ↑ 50 ↓ 39 , RAM cost:1.7835 GB   
  50: ↑ 50 ↓ 38 , RAM cost:1.7835 GB   
  50: ↑ 50 ↓ 37 , RAM cost:1.7835 GB   
  50: ↑ 50 ↓ 36 , RAM cost:1.7835 GB   
  50: ↑ 50 ↓ 35 , RAM cost:1.7835 GB   
  50: ↑ 50 ↓ 34 , RAM cost:1.7835 GB   
  50: ↑ 50 ↓ 33 , RAM cost:1.7835 GB   
  50: ↑ 50 ↓ 32 , RAM cost:1.6606 GB   
  50: ↑ 50 ↓ 31 , RAM cost:1.6606 GB   
  50: ↑ 50 ↓ 30 , RAM cost:1.6606 GB   
  50: ↑ 50 ↓ 29 , RAM cost:1.6606 GB   
  50: ↑ 50 ↓ 28 , RAM cost:1.6606 GB   
  50: ↑ 50 ↓ 27 , RAM cost:1.6606 GB   
  50: ↑ 50 ↓ 26 , RAM cost:1.6606 GB   
  50: ↑ 50 ↓ 25 , RAM cost:1.6606 GB   
  50: ↑ 50 ↓ 24 , RAM cost:1.6606 GB   
  50: ↑ 50 ↓ 23 , RAM cost:1.6606 GB   
  50: ↑ 50 ↓ 22 , RAM cost:1.6606 GB   
  50: ↑ 50 ↓ 21 , RAM cost:1.6606 GB   
  50: ↑ 50 ↓ 20 , RAM cost:1.6606 GB   
  50: ↑ 50 ↓ 19 , RAM cost:1.6606 GB   
  50: ↑ 50 ↓ 18 , RAM cost:1.6606 GB   
  50: ↑ 50 ↓ 17 , RAM cost:1.6606 GB   
  50: ↑ 50 ↓ 16 , RAM cost:1.6606 GB   
  50: ↑ 50 ↓ 15 , RAM cost:1.6606 GB   
  50: ↑ 50 ↓ 14 , RAM cost:1.6606 GB   
  50: ↑ 50 ↓ 13 , RAM cost:1.6606 GB   
  50: ↑ 50 ↓ 12 , RAM cost:1.6606 GB   
  50: ↑ 50 ↓ 11 , RAM cost:1.6606 GB   
  50: ↑ 50 ↓ 10 , RAM cost:1.6606 GB   
  50: ↑ 50 ↓  9 , RAM cost:1.6606 GB   
  50: ↑ 50 ↓  8 , RAM cost:1.6606 GB   
  50: ↑ 50 ↓  7 , RAM cost:1.6606 GB   
  50: ↑ 50 ↓  6 , RAM cost:1.6606 GB   
  50: ↑ 50 ↓  5 , RAM cost:1.6606 GB   
  50: ↑ 50 ↓  4 , RAM cost:1.6606 GB   
  50: ↑ 50 ↓  3 , RAM cost:1.6606 GB   slope: -0.08725, walltime: 31.167 sec, max_RAM_cost: 1.784 GB
Intial Slope = -0.08400

Starting svp pump_{115, 65, 12}

  53: ↑ 51   , RAM cost:1.7928 GB    
  53: ↑ 52   , RAM cost:1.7928 GB    
  53: ↑ 53   , RAM cost:1.7928 GB    
  53: ↑ 53 ↓ 52 , RAM cost:1.7928 GB   
  53: ↑ 53 ↓ 51 , RAM cost:1.7928 GB   
  53: ↑ 53 ↓ 50 , RAM cost:1.7928 GB   
  53: ↑ 53 ↓ 49 , RAM cost:1.7928 GB   
  53: ↑ 53 ↓ 48 , RAM cost:1.7928 GB   
  53: ↑ 53 ↓ 47 , RAM cost:1.7928 GB   
  53: ↑ 53 ↓ 46 , RAM cost:1.7928 GB   
  53: ↑ 53 ↓ 45 , RAM cost:1.7928 GB   
  53: ↑ 53 ↓ 44 , RAM cost:1.7928 GB   
  53: ↑ 53 ↓ 43 , RAM cost:1.7928 GB   
  53: ↑ 53 ↓ 42 , RAM cost:1.7928 GB   
  53: ↑ 53 ↓ 41 , RAM cost:1.7928 GB   
  53: ↑ 53 ↓ 40 , RAM cost:1.7928 GB   
  53: ↑ 53 ↓ 39 , RAM cost:1.7928 GB   
  53: ↑ 53 ↓ 38 , RAM cost:1.7928 GB   
  53: ↑ 53 ↓ 37 , RAM cost:1.7928 GB   
  53: ↑ 53 ↓ 36 , RAM cost:1.7928 GB   
  53: ↑ 53 ↓ 35 , RAM cost:1.7928 GB   
  53: ↑ 53 ↓ 34 , RAM cost:1.7928 GB   
  53: ↑ 53 ↓ 33 , RAM cost:1.7930 GB   
  53: ↑ 53 ↓ 32 , RAM cost:1.6624 GB   
  53: ↑ 53 ↓ 31 , RAM cost:1.6624 GB   
  53: ↑ 53 ↓ 30 , RAM cost:1.6624 GB   
  53: ↑ 53 ↓ 29 , RAM cost:1.6624 GB   
  53: ↑ 53 ↓ 28 , RAM cost:1.6624 GB   
  53: ↑ 53 ↓ 27 , RAM cost:1.6624 GB   
  53: ↑ 53 ↓ 26 , RAM cost:1.6624 GB   
  53: ↑ 53 ↓ 25 , RAM cost:1.6624 GB   
  53: ↑ 53 ↓ 24 , RAM cost:1.6624 GB   
  53: ↑ 53 ↓ 23 , RAM cost:1.6624 GB   
  53: ↑ 53 ↓ 22 , RAM cost:1.6624 GB   
  53: ↑ 53 ↓ 21 , RAM cost:1.6624 GB   
  53: ↑ 53 ↓ 20 , RAM cost:1.6624 GB   
  53: ↑ 53 ↓ 19 , RAM cost:1.6624 GB   
  53: ↑ 53 ↓ 18 , RAM cost:1.6624 GB   
  53: ↑ 53 ↓ 17 , RAM cost:1.6624 GB   
  53: ↑ 53 ↓ 16 , RAM cost:1.6624 GB   
  53: ↑ 53 ↓ 15 , RAM cost:1.6624 GB   
  53: ↑ 53 ↓ 14 , RAM cost:1.6624 GB   
  53: ↑ 53 ↓ 13 , RAM cost:1.6624 GB   
  53: ↑ 53 ↓ 12 , RAM cost:1.6624 GB   
  53: ↑ 53 ↓ 11 , RAM cost:1.6624 GB   
  53: ↑ 53 ↓ 10 , RAM cost:1.6624 GB   
  53: ↑ 53 ↓  9 , RAM cost:1.6624 GB   
  53: ↑ 53 ↓  8 , RAM cost:1.6624 GB   
  53: ↑ 53 ↓  7 , RAM cost:1.6624 GB   
  53: ↑ 53 ↓  6 , RAM cost:1.6624 GB   
  53: ↑ 53 ↓  5 , RAM cost:1.6624 GB   
  53: ↑ 53 ↓  4 , RAM cost:1.6624 GB   
  53: ↑ 53 ↓  3 , RAM cost:1.6624 GB   slope: -0.08312, walltime: 18.816 sec, max_RAM_cost: 1.793 GB

Starting svp pump_{115, 65, 12}

  53: ↑ 51   , RAM cost:1.7899 GB    
  53: ↑ 52   , RAM cost:1.7899 GB    
  53: ↑ 53   , RAM cost:1.7899 GB    
  53: ↑ 53 ↓ 52 , RAM cost:1.7899 GB   
  53: ↑ 53 ↓ 51 , RAM cost:1.7899 GB   
  53: ↑ 53 ↓ 50 , RAM cost:1.7899 GB   
  53: ↑ 53 ↓ 49 , RAM cost:1.7899 GB   
  53: ↑ 53 ↓ 48 , RAM cost:1.7899 GB   
  53: ↑ 53 ↓ 47 , RAM cost:1.7899 GB   
  53: ↑ 53 ↓ 46 , RAM cost:1.7899 GB   
  53: ↑ 53 ↓ 45 , RAM cost:1.7899 GB   
  53: ↑ 53 ↓ 44 , RAM cost:1.7899 GB   
  53: ↑ 53 ↓ 43 , RAM cost:1.7899 GB   
  53: ↑ 53 ↓ 42 , RAM cost:1.7899 GB   
  53: ↑ 53 ↓ 41 , RAM cost:1.7899 GB   
  53: ↑ 53 ↓ 40 , RAM cost:1.7899 GB   
  53: ↑ 53 ↓ 39 , RAM cost:1.7899 GB   
  53: ↑ 53 ↓ 38 , RAM cost:1.7899 GB   
  53: ↑ 53 ↓ 37 , RAM cost:1.7899 GB   
  53: ↑ 53 ↓ 36 , RAM cost:1.7899 GB   
  53: ↑ 53 ↓ 35 , RAM cost:1.7899 GB   
  53: ↑ 53 ↓ 34 , RAM cost:1.7899 GB   
  53: ↑ 53 ↓ 33 , RAM cost:1.7899 GB   
  53: ↑ 53 ↓ 32 , RAM cost:1.6650 GB   
  53: ↑ 53 ↓ 31 , RAM cost:1.6650 GB   
  53: ↑ 53 ↓ 30 , RAM cost:1.6650 GB   
  53: ↑ 53 ↓ 29 , RAM cost:1.6650 GB   
  53: ↑ 53 ↓ 28 , RAM cost:1.6650 GB   
  53: ↑ 53 ↓ 27 , RAM cost:1.6650 GB   
  53: ↑ 53 ↓ 26 , RAM cost:1.6650 GB   
  53: ↑ 53 ↓ 25 , RAM cost:1.6650 GB   
  53: ↑ 53 ↓ 24 , RAM cost:1.6650 GB   
  53: ↑ 53 ↓ 23 , RAM cost:1.6650 GB   
  53: ↑ 53 ↓ 22 , RAM cost:1.6650 GB   
  53: ↑ 53 ↓ 21 , RAM cost:1.6650 GB   
  53: ↑ 53 ↓ 20 , RAM cost:1.6650 GB   
  53: ↑ 53 ↓ 19 , RAM cost:1.6650 GB   
  53: ↑ 53 ↓ 18 , RAM cost:1.6650 GB   
  53: ↑ 53 ↓ 17 , RAM cost:1.6650 GB   
  53: ↑ 53 ↓ 16 , RAM cost:1.6650 GB   
  53: ↑ 53 ↓ 15 , RAM cost:1.6650 GB   
  53: ↑ 53 ↓ 14 , RAM cost:1.6650 GB   
  53: ↑ 53 ↓ 13 , RAM cost:1.6650 GB   
  53: ↑ 53 ↓ 12 , RAM cost:1.6650 GB   
  53: ↑ 53 ↓ 11 , RAM cost:1.6650 GB   
  53: ↑ 53 ↓ 10 , RAM cost:1.6650 GB   
  53: ↑ 53 ↓  9 , RAM cost:1.6650 GB   
  53: ↑ 53 ↓  8 , RAM cost:1.6650 GB   
  53: ↑ 53 ↓  7 , RAM cost:1.6650 GB   
  53: ↑ 53 ↓  6 , RAM cost:1.6650 GB   
  53: ↑ 53 ↓  5 , RAM cost:1.6650 GB   
  53: ↑ 53 ↓  4 , RAM cost:1.6650 GB   
  53: ↑ 53 ↓  3 , RAM cost:1.6650 GB   slope: -0.08278, walltime: 35.019 sec, max_RAM_cost: 1.790 GB
Intial Slope = -0.08625

Starting svp pump_{110, 70, 15}

  55: ↑ 51   , RAM cost:1.7995 GB    
  55: ↑ 52   , RAM cost:1.7995 GB    
  55: ↑ 53   , RAM cost:1.7995 GB    
  55: ↑ 54   , RAM cost:1.7995 GB    
  55: ↑ 55   , RAM cost:1.7995 GB    
  55: ↑ 55 ↓ 54 , RAM cost:1.7995 GB   
  55: ↑ 55 ↓ 53 , RAM cost:1.7995 GB   
  55: ↑ 55 ↓ 52 , RAM cost:1.7995 GB   
  55: ↑ 55 ↓ 51 , RAM cost:1.7995 GB   
  55: ↑ 55 ↓ 50 , RAM cost:1.7995 GB   
  55: ↑ 55 ↓ 49 , RAM cost:1.7995 GB   
  55: ↑ 55 ↓ 48 , RAM cost:1.7995 GB   
  55: ↑ 55 ↓ 47 , RAM cost:1.7995 GB   
  55: ↑ 55 ↓ 46 , RAM cost:1.7995 GB   
  55: ↑ 55 ↓ 45 , RAM cost:1.7995 GB   
  55: ↑ 55 ↓ 44 , RAM cost:1.7995 GB   
  55: ↑ 55 ↓ 43 , RAM cost:1.7998 GB   
  55: ↑ 55 ↓ 42 , RAM cost:1.7998 GB   
  55: ↑ 55 ↓ 41 , RAM cost:1.7998 GB   
  55: ↑ 55 ↓ 40 , RAM cost:1.7998 GB   
  55: ↑ 55 ↓ 39 , RAM cost:1.7998 GB   
  55: ↑ 55 ↓ 38 , RAM cost:1.7998 GB   
  55: ↑ 55 ↓ 37 , RAM cost:1.7998 GB   
  55: ↑ 55 ↓ 36 , RAM cost:1.7998 GB   
  55: ↑ 55 ↓ 35 , RAM cost:1.7998 GB   
  55: ↑ 55 ↓ 34 , RAM cost:1.7998 GB   
  55: ↑ 55 ↓ 33 , RAM cost:1.7998 GB   
  55: ↑ 55 ↓ 32 , RAM cost:1.6690 GB   
  55: ↑ 55 ↓ 31 , RAM cost:1.6691 GB   
